Date.Created,Text
Sat Apr 01 13:57:49," @ChelseaFC: The Blues are out warming up at Stamford Bridge...\\ud83d\\udcaa https:\\/\\/t.co\\/TW6grfuegs\"""
Sat Apr 01 13:57:49," @emmachrise: Cheap https:\\/\\/t.co\\/jxH3mY7cTg\"""
Sat Apr 01 13:57:49,"My boy at his first @ChelseaFC game today! #BlueBoy #Chelsea #HisSoChuffed \\ud83d\\udc99\\u26bd\\ufe0f @hazardeden10 @thibautcouois https:\\/\\/t.co\\/kPC7XK2wY4\"""
Sat Apr 01 13:57:51," @LondonIsBlue12: MATCHDAY!! #CHECRY https:\\/\\/t.co\\/YTpCXxZiWt\"""
Sat Apr 01 13:57:51, @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:57:51, @SkyFootball: #CFC XI v #CPFC: Couois; Azpilicueta
Sat Apr 01 13:57:52,"I want to #fondle me? !  Let's have a chat -   https:\\/\\/t.co\\/jCHv3yylOQ https:\\/\\/t.co\\/AzIzct1Ba2\"""
Sat Apr 01 13:57:52," @ChelseaFC: The Blues are out warming up at Stamford Bridge...\\ud83d\\udcaa https:\\/\\/t.co\\/TW6grfuegs\"""
Sat Apr 01 13:57:53," @ChelseaFC good luck get that W #7GamestoGlory\"""
Sat Apr 01 13:57:53,  @dannywicfam: @ChelseaFC Fabregas
Sat Apr 01 13:57:54,  @ChelseaFC: If you're coming to the game today
Sat Apr 01 13:57:54," C'Mon Chelsea ! https:\\/\\/t.co\\/bq0ru4iu0b\"""
Sat Apr 01 13:57:54," @ChelseaFC Weird.\"""
Sat Apr 01 13:57:55,  @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:57:56,  @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:57:57,"  @garytaphouse: Ken Bates is here - 35 years to the day since he bought #CFC for \\u00a31. #CHECRY https:\\/\\/t.co\\/oZmQJn5n3m\"""
Sat Apr 01 13:57:57,"  @ChelseaFC: The Blues are out warming up at Stamford Bridge...\\ud83d\\udcaa https:\\/\\/t.co\\/TW6grfuegs\"""
Sat Apr 01 13:57:57," Here come the Champions https:\\/\\/t.co\\/05NBEZVqwr\"""
Sat Apr 01 13:57:57," Moses yok Chelsea puan kaybeder :) https:\\/\\/t.co\\/YMcBp6xMTG\"""
Sat Apr 01 13:57:57,"  @ChelseaFC_Thai: \\u0e01\\u0e25\\u0e31\\u0e1a\\u0e2a\\u0e39\\u0e48\\u0e1e\\u0e23\\u0e35\\u0e40\\u0e21\\u0e35\\u0e22\\u0e23\\u0e4c\\u0e25\\u0e35\\u0e01\\u0e01\\u0e31\\u0e19\\u0e2d\\u0e35\\u0e01\\u0e04\\u0e23\\u0e31\\u0e49\\u0e07! \\n\\n\\u0e40\\u0e0a\\u0e25\\u0e0b\\u0e35 \\u0e1e\\u0e1a \\u0e04\\u0e23\\u0e34\\u0e2a\\u0e15\\u0e31\\u0e25 \\u0e1e\\u0e32\\u0e40\\u0e25\\u0e0b (21.00 \\u0e19.) \\u26bd\\ufe0f #CFCThai https:\\/\\/t.co\\/qgkZd5nMox\"""
Sat Apr 01 13:57:58,"  @JocaPiloca: F\\u00e1bregas a extremo para mandar aquelas motas que s\\u00f3 ele sabe dar https:\\/\\/t.co\\/5mOM1l6GCR\"""
Sat Apr 01 13:57:58,  @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:57:59,  @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:58:00," \\u26bd\\ufe0f\\ud83c\\udfc6\\ud83d\\udcfa\\u27a1\\ufe0f Chelsea have won 4 of their last 5 #EPL games against the #CPFC.\\n\\n#CFCvCPFC #CFC #PremierLeague\"""
Sat Apr 01 13:58:01," #PL Predictions:\\n1-1 #BUOT \\n2-0 #CHECRY\\n2-1 #HULWHU\\n2-2 #LEISTK \\n1-2 #MUNWBA \\n1-1 #WATSUN\"""
Sat Apr 01 13:58:01,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:01,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:02,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:01," \\u00a1Arranca el CARRUSEL!con 6 paidos en DIRECTO: https:\\/\\/t.co\\/KBIOYsCC4B\\n\\n#CHECRY\\n#MUNWBA\\n#BUOT\\n#HULWHU\\n#LEISTK\\u2026 https:\\/\\/t.co\\/oVhfraLOOo\"""
Sat Apr 01 13:58:02," Come on Chels!! Let's win this and get the 3 points. \\ud83d\\udcaa\\ud83d\\udcaa\\ud83d\\udcaa\\ud83d\\udd35\\ud83d\\udd35\\ud83d\\udd35#CHECRY\"""
Sat Apr 01 13:58:02,  @ChelseaFC: Just over 30mins until kick-off
Sat Apr 01 13:58:02,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:02,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:02," @ChelseaFC Where is moses\"""
Sat Apr 01 13:58:02,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:02,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:03,"  @MessiMinutes: Antonio Conte's agent suggest he's not guaranteed to stay at @ChelseaFC:\\n\\n\\\""New oppounities may arise"
Sat Apr 01 13:58:03,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
Sat Apr 01 13:58:03,"  @BirsuMutlu: Chelsea v Crystal Palace\\n\\nLive Stream : https:\\/\\/t.co\\/RPWpOtm2kA\\n\\ns1k1g6 #CFC #CHECRY #Matchday #CPFC #PremierLeague #Chelse\\u2026\"""
