"text","emotion","polarity"
" point gap now i blame international break we will come back stronger t co ivjri j ob ","unknown","negative"
" meudeus o palace u e gigante n ntks n nvantagem do chelsea pro tottenham diminui pra pontos n nestamos vivos n n coys ","unknown","positive"
" ud d ude f u bd ","unknown","positive"
" benteke did his national team mate diy there ngame on n checry ","unknown","negative"
" follow all the action as cfc host cpfc here t co qa kigoer t co o r tuwsnl ","unknown","positive"
" costaout ","unknown","positive"
" cesc equalises n n chepal n n t co ngaj ffa ","unknown","positive"
" omgaflkfhn ad klfhgdzjgbl cpfc ","unknown","positive"
" cosa sta succedendo checry ","fear","positive"
" can t believe we lost to crystal palace t co lv t budkn ","unknown","negative"
" goal chepal t co fsuypfsyf ","unknown","positive"
" how much did roman pay for that even fergie never got that much ","unknown","negative"
" t co hvnws sv ","unknown","positive"
" it s like being a man with no knob at an orgy checry ","joy","positive"
" half time chelsea crystal palace chepal t co seyvuhjtfe ","unknown","positive"
" crystal palace with wins and goals conceded in march are our premier league team of the month with a rat u ","unknown","neutral"
" it s all going off at stamford bridge u n ncrystal palace lead chelsea with just mins gone checry t co a cn u ","unknown","positive"
" goal chelsea crystal palace mins wilfried zaha holds off the chelsea defence before firing home from the edge o u ","unknown","positive"
" just got up from my siesta now and i m seeing april fool on my tv screen che cry ","unknown","negative"
" full time chelsea palace wilfried zaha amp christian benteke give a fouh consecutive win and check chels u ","unknown","positive"
" fabregas diganti loftus cheek checry ","unknown","positive"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" christian benteke knows how to get the pay staed cpfc t co teiorgwuim ","sadness","negative"
" just over mins until kick off","joy","neutral"
" my prediction look like we re spot on ud d ude c ud d ude c ud d ude c ud d ude c ud d ude c whitesangoma ","joy","neutral"
" lovelaaaaayyyyyy t co r krq vsw ","unknown","positive"
" when you hear crystal palace lead chelsea after minutes ud d ude checry t co vlgkjoqgvl ","unknown","positive"
" ud d ude t co qilskicfd ","unknown","positive"
" goal benteke nassist zaha n nchelsea palace mins fpl checry ","unknown","positive"
" u u u u u u u u u u u u u u u u u u u u u u u u u u n u u u u u u u u u f u u u a u a u u u a ","unknown","positive"
" oh my dayssssssss u ud d udc cord t co i ornxwsfl ","unknown","positive"
" not enough get added in scoreless nd half they went over before final whistle mind you fans heading out by th ","sadness","negative"
" fabregas makes a long ball in for pedro but he s unable to collect checry cfclive ","unknown","negative"
" we do like a trip to stamford bridge cpfc ","joy","positive"
" damn that goal checry ","unknown","negative"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" nwe tried guys","unknown","positive"
" the benteke goal ud d udd ud d udd checry cpfc t co rgeiqllvc ","unknown","positive"
" when there s an injury and countless stoppages ","unknown","negative"
" thanks fam ","unknown","positive"
" unbelievable checry t co whbyakraqr ","unknown","negative"
" hard luck ","unknown","neutral"
" the hand ball not called on townsend cpfc checry t co vys ocmwkr ","unknown","positive"
" team statistics nchelsea crystal palace n checry t co ekqvjupfw ","unknown","positive"
" you can t be serious ","unknown","negative"
" tendangan bebas chelsea last checry ","unknown","negative"
" u bd ufe f ud d udd ud d ude gola u c o do u b n x u b ao vivo na espn brasil e watchespn t co hxwmfftqas u ","unknown","positive"
" u u d u u u u e u u u u u u u u u b u u u u f u a u u f u u u u u u a u u f ","unknown","positive"
