"Date.Created","Text"
"Sun Mar 19 17:34:46 "," SECOND HALF City get us under way again cityvlfc mcfc n n ud d udd ud d udd t co VntTklwrT "
"Sun Mar 19 16:52:51 "," karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u "
"Sun Mar 19 18:52:11 "," Um"
"Sun Mar 19 18:45:45 "," We bottled"
"Sun Mar 19 18:39:26 "," Semoga musim depan Klopp eveluasi lagi dan LFC punya striker bertipe n Perusak Prahara Rumah Tangga Lawan t co sBTimr BCD "
"Sun Mar 19 17:53:57 "," living life on the edge defensively"
"Sun Mar 19 18:59:51 "," Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u "
"Sun Mar 19 16:50:31 "," Liverpool FC Manchester City Liverpool Follow live coverage t co HvIgdttGUp lfc "
"Sun Mar 19 17:09:58 "," Come on you Red men"
"Sun Mar 19 18:26:44 "," Was vital not to lose that"
"Sun Mar 19 17:29:52 "," It has everything but goals so far ud d udd ud d udd t co Qx Otj "
"Sun Mar 19 17:10:45 "," What a bloody tackle from Milner Fernandinho is comical MCFC MCILIV LFC "
"Sun Mar 19 18:29:28 "," Great game So open"
"Sun Mar 19 18:09:26 "," What a goal that would ve been MCILIV "
"Sun Mar 19 18:08:59 "," LE RATEEEEEEEEEEE DE L ANNEEEEEEEEEEEEEEE n MCILIV "
"Sun Mar 19 16:59:13 "," Not a penalty because reasons LFC "
"Sun Mar 19 18:23:40 "," James Milner scored Liverpool s th penalty in all competed recorded at LFC n n t co VphrZ cW h "
"Sun Mar 19 17:16:18 "," It s been a fine first half"
"Sun Mar 19 17:51:15 "," Great thing about watching a game at Etihad on tv is that you don t understand a word that the adverts say Chinese "
"Sun Mar 19 18:34:21 "," It s BoringMilner"
"Sun Mar 19 18:44:45 "," Vinner begge hengekampene"
"Sun Mar 19 16:43:32 "," Det er meg helt uforst u e elig hvorfor Manchester City supportere piper p u e Milner Han gjorde en solid jobb for de i u e r Mye p u e benk MCILIV "
"Sun Mar 19 17:35:07 "," MCILIV BONUS POINTS AS IT STANDS n n u Toure n u Clichy n u Coutinho"
"Sun Mar 19 17:49:39 "," WHAT THE HECK is she putting inside n MCILIV n t co z Q dejGB "
"Sun Mar 19 17:49:22 "," Best possible way for Milner to silence the boo boys LFC lead at the Etihad"
"Sun Mar 19 18:47:32 "," COME ON CITY ud d udc t co rRt FZ j "
"Sun Mar 19 17:37:09 "," HT Manchester City Liverpool Not the best Not the worst Big second half coming up LFC MCILIV cityvlfc t c u "
"Sun Mar 19 17:17:32 "," Bring in Bravo We need goals MCILIV "
"Sun Mar 19 18:34:26 "," MCILIV MCFC cityvlfc LFC t co e dDd r B "
"Sun Mar 19 18:27:08 "," Got to be Emre Can s best performance for LFC Thought he was immense today "
"Sun Mar 19 18:23:04 "," nDeep in my heart"
"Sun Mar 19 18:10:10 "," Lollolna "
"Sun Mar 19 17:40:08 "," Roses are red"
"Sun Mar 19 17:22:19 "," u StarFootballLeague n u MCILIV n u a MUFC n u b Stephen Odey n u c DrPaul Yahweh Video n n WAT trndnl t co zX A KS "
