score,text
0, SECOND HALF City get us under way again cityvlfc mcfc n n ud d udd ud d udd t co VntTklwrT 
0, karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u 
0, Um
0, We bottled
0, Semoga musim depan Klopp eveluasi lagi dan LFC punya striker bertipe n Perusak Prahara Rumah Tangga Lawan t co sBTimr BCD 
0, living life on the edge defensively
1, Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u 
0, Liverpool FC Manchester City Liverpool Follow live coverage t co HvIgdttGUp lfc 
0, Come on you Red men
-1, Was vital not to lose that
0, It has everything but goals so far ud d udd ud d udd t co Qx Otj 
-2, What a bloody tackle from Milner Fernandinho is comical MCFC MCILIV LFC 
1, Great game So open
0, What a goal that would ve been MCILIV 
0, LE RATEEEEEEEEEEE DE L ANNEEEEEEEEEEEEEEE n MCILIV 
-1, Not a penalty because reasons LFC 
-1, James Milner scored Liverpool s th penalty in all competed recorded at LFC n n t co VphrZ cW h 
1, It s been a fine first half
1, Great thing about watching a game at Etihad on tv is that you don t understand a word that the adverts say Chinese 
0, It s BoringMilner
0, Vinner begge hengekampene
1, Det er meg helt uforst u e elig hvorfor Manchester City supportere piper p u e Milner Han gjorde en solid jobb for de i u e r Mye p u e benk MCILIV 
1, MCILIV BONUS POINTS AS IT STANDS n n u Toure n u Clichy n u Coutinho
-1, WHAT THE HECK is she putting inside n MCILIV n t co z Q dejGB 
2, Best possible way for Milner to silence the boo boys LFC lead at the Etihad
0, COME ON CITY ud d udc t co rRt FZ j 
0, HT Manchester City Liverpool Not the best Not the worst Big second half coming up LFC MCILIV cityvlfc t c u 
1, Bring in Bravo We need goals MCILIV 
0, MCILIV MCFC cityvlfc LFC t co e dDd r B 
2, Got to be Emre Can s best performance for LFC Thought he was immense today 
0, nDeep in my heart
0, Lollolna 
0, Roses are red
0, u StarFootballLeague n u MCILIV n u a MUFC n u b Stephen Odey n u c DrPaul Yahweh Video n n WAT trndnl t co zX A KS 
-1, Mane with some insane pace
