Date Created ,Text
Sat Mar 18 15:24:26 ,"#afc PL away games since 13 Dec:\\n\\n1-2 Everton L\\n1-2 Man City L\\n3-3 Bournemouth D\\n4-0 Swansea W\\n1-3 Chelsea L\\n1-3 Li\"""
Sat Mar 18 15:25:51 ,Bournemouth v Swansea Live: Teams
Sat Mar 18 15:26:20 ,RT @YourPLNews: #GIVEAWAY: IF WE HIT 1.6K BY MONDAY
Sat Mar 18 15:27:06 ,"The City game has been rearranged between the Burnley and Swansea games. 3 games in 7 days AGAIN. https:\\/\\/t.co\\/KkL70Mewtg\"""
Sat Mar 18 15:28:07 ,"AFC Bournemouth V Swansea at Vitality Stadium : Match Preview... https:\\/\\/t.co\\/BwwHLvcbSe #BournemouthFC\"""
Sat Mar 18 15:29:05 ," @GinoAntonio4 Thanks for following us! Have you seen our Facebook page too? https:\\/\\/t.co\\/c86xC9z6R4\"""
Sat Mar 18 15:29:09 , RT @YourPLNews: #GIVEAWAY: IF WE HIT 1.6K BY MONDAY
Sat Mar 18 15:29:16 ," RT @AdamLee84042611: @SaintsGLFC U16s stretch out after 4-0 victory in WGFL Cup semi against AFC Bournemouth #COYR https:\\/\\/t.co\\/xCOZY6wjAJ\"""
Sat Mar 18 15:29:26 ," Smiles all round for our #BOUSWA #AssociateShirt sponsor Barford Ice Cream! We hope you enjoy today's game #afcb https:\\/\\/t.co\\/nCG075lMxb\"""
Sat Mar 18 15:29:55 ," REPORT: Swans U23s 2 Blackburn U23s 0 https:\\/\\/t.co\\/RFh950x3ed (Source: Swansea City FC)\"""
Sat Mar 18 15:30:01 ," Live!! AFC Bournemouth vs Swansea City\\nMalam ini pkl 00.30 WIB\\nLangsung klik: https:\\/\\/t.co\\/EQKHtCy6ZW\\u2026 https:\\/\\/t.co\\/ApQXFwh9cG\"""
Sat Mar 18 15:30:05 ," Good luck to AFC Bournemouth in their game later on against Swansea https:\\/\\/t.co\\/l6ZOZGG2Ul\"""
Sat Mar 18 15:30:22 ," #LIVE #PremierLeague #Football #AFCBournemouth v #Swansea City KO 5.30pm plus 5 Dish #PicknMix Plank \\u00a37.99 https:\\/\\/t.co\\/v4VezrJx4o\"""
Sat Mar 18 15:30:28 ," Two hours folks. See you at the bar. #BOUSWA https:\\/\\/t.co\\/TAjU8vp1Fo\"""
Sat Mar 18 15:30:41 ," Don't miss this afternoon's big game when Bournemouth take on Swansea City live at 5:30! At Walkabout we've got it covered!\"""
Sat Mar 18 15:31:19 ," Live!! AFC Bournemouth vs Swansea City\\nMalam ini pkl 00.30 WIB\\nLangsung klik: https:\\/\\/t.co\\/o4u1o9tGtW https:\\/\\/t.co\\/DUymaaFnZ0 jkt48\"""
