Date.Created,Text
Sat Apr 01 13:57:40,"Tough turf today I reckon!  But we can do it \\ud83d\\udc4a\\ud83c\\udffc COYS!\"""
Sat Apr 01 13:57:40, @jddyche Good luck
Sat Apr 01 13:57:45," Come on you spurs! Start the Easter holidays right for me. Hope Janssen does the job today. #COYS\"""
Sat Apr 01 13:57:45," @Pete2Boogie I hope your wearing the scarf? #Coys\"""
Sat Apr 01 13:57:46," #HULWHU \\n#BURTOT \\n#WATSUN \\n#LEISTO\"""
Sat Apr 01 13:57:46," @NewHopeGeorge As always \\ud83d\\ude0d\\ud83d\\ude18 #COYS \\ud83d\\ude0d\\ud83d\\ude0d\\ud83d\\ude0d\"""
Sat Apr 01 13:57:48," COYS!!\"""
Sat Apr 01 13:57:48," RT @HKane: Big week ahead! Hopefully we can start with a win today! Good luck lads! \\u26bd\\ufe0f #coys #THFC\"""
Sat Apr 01 13:57:49," #COYS\\ud83d\\udc99\\u26aa\\ufe0f\"""
Sat Apr 01 13:57:49," RT @dsmead11: @SpursOfficial Have I missed something? Are we playing next seasons League Cup matches early? Dembele was as good as Maradona\\u2026\"""
Sat Apr 01 13:57:49," #COYS\"""
Sat Apr 01 13:57:49, @RobShot66 hi guys
Sat Apr 01 13:57:50," Come on you Spurrrrrrrrrrrrrrrrrrssssss\\n #COYS\"""
Sat Apr 01 13:57:50," COYS\"""
Sat Apr 01 13:57:50," @BurnleyOfficial Am I the only one not getting any commentary on Claretsplayer?\"""
Sat Apr 01 13:57:50, Tottenham starting XI v Burnley - Lloris
Sat Apr 01 13:57:50," COYS\\u26aa\\ufe0f\\ud83d\\udd35\"""
Sat Apr 01 13:57:51," RT @SpursOfficial: A reminder of this afternoon's starting XI at Turf Moor. Under 10mins until kick-off! #COYS https:\\/\\/t.co\\/zlzsKco4Of\"""
Sat Apr 01 13:57:51," #COYS\"""
Sat Apr 01 13:57:56," \\u30a6\\u30a3\\u30f3\\u30af\\u30b9\\u5148\\u767a\\u304b\\u3002\\u672c\\u5f53\\u306b\\u30d7\\u30ed\\u30b9\\u30da\\u30af\\u30c8\\u304b\\u3089\\u4e00\\u6b69\\u4e00\\u6b69\\u9032\\u3093\\u3067\\u3044\\u308b\\u306a\\u3042\\n#coys\"""
Sat Apr 01 13:57:56," COYS\"""
Sat Apr 01 13:57:57," RT @LoveTheShirt: Janssen's gonna use his steel arse cheeks to reverse his way to a hat-trick today. I can feel it. COYS\"""
Sat Apr 01 13:57:59, RT @SpursOfficial: #THFC: Lloris (C)
Sat Apr 01 13:57:59, Right then
Sat Apr 01 13:57:59," RT @AngrySPUR5Fan: @SpursOfficial Where's Dembele? WALKER? Son?\"""
Sat Apr 01 13:58:01," #PL Predictions:\\n1-1 #BURTOT \\n2-0 #CHECRY\\n2-1 #HULWHU\\n2-2 #LEISTK \\n1-2 #MUNWBA \\n1-1 #WATSUN\"""
