Date.Created,Text
Sat Apr 01 13:58:28 , @WestHamUtd: Here come the teams
Sat Apr 01 13:58:38 ," @rwatson1955 @MarkHayter1 @PeterDraper3 @AustynSnowden and the fun begins #HULWHU Come on City #hcafc https:\\/\\/t.co\\/haB0rluY30\"""
Sat Apr 01 13:58:43 ," Sure https:\\/\\/t.co\\/CRcIEyZ1wS\"""
Sat Apr 01 13:58:44 , @WestHamUtd: Here come the teams
Sat Apr 01 13:58:44 , @WestHamUtd: Here come the teams
Sat Apr 01 13:58:45 , @WestHamUtd: Here come the teams
Sat Apr 01 13:58:51 ," I am sure Feghouli will NOT play in CDM #HULWHU\"""
Sat Apr 01 14:06:10 ," #WestHam Tweets: We're off. Come on you Irons! [0-0] #HULWHU #COYI https:\\/\\/t.co\\/t6qo9lfhpn https:\\/\\/t.co\\/nNl43w8yX3\"""
Sat Apr 01 14:06:11 ," @SMi_World at the KC for @HullCity v @WestHamUtd All the best @robsnodgrass7 @premierleague #HULWHU https:\\/\\/t.co\\/uFp0GevH0z\"""
Sat Apr 01 14:06:17 ," @trehesten: @ScandHammers @WestHamUtd @hammers_chat https:\\/\\/t.co\\/8tTAYjn23J\"""
Sat Apr 01 14:06:23 ," @whufc_malaysia: Barisan skuad Hammers yang bakal berentap hari ini \\u2692\\ufe0f\\n\\n#HULWHU #COYI https:\\/\\/t.co\\/gr6k3jhlYa\"""
Sat Apr 01 14:06:26 ," @WestHamUtd: We're off. Come on you Irons!\\n\\n[0-0] #HULWHU #COYI https:\\/\\/t.co\\/rfaDehUkkQ\"""
Sat Apr 01 14:06:27 , Silbatina para Snodgrass
Sat Apr 01 14:06:28 ," @HullCity what a joke this place is kick off missed sort out you sack off shit and don't say come early as fuck all\\u2026 https:\\/\\/t.co\\/Rxcl66qc2i\"""
Sat Apr 01 14:06:38 ," @WestHamUtd: We're off. Come on you Irons!\\n\\n[0-0] #HULWHU #COYI https:\\/\\/t.co\\/rfaDehUkkQ\"""
Sat Apr 01 14:06:38 , Kouyate with a rough touch in the midfield almost led to Clucas finding Hernandez
Sat Apr 01 14:06:39 ," Awww!!!! https:\\/\\/t.co\\/SCNEzNGicu\"""
Sat Apr 01 14:06:41 ," Abel Hern\\u00e1ndez (Hull City) wins a free kick in the defensive half. https:\\/\\/t.co\\/Ndk47vU6RK #HULWHU\"""
Sat Apr 01 14:06:41 ," Abel Hern\\u00e1ndez (Hull City) wins a free kick in the defensive half. https:\\/\\/t.co\\/owkf1jFTFd #HULWHU\"""
