Date.Created,Text
Sat Apr 01 13:58:34,"RT @mrgeoffpeters: Great to see #lcfc legend @alanbirchenall back at the ground after his recent health troubles - along with the nurs\\u2026 \"""
Sat Apr 01 13:58:34," @LCFC #TweetMyGoal3 let's keep on winning\"""
Sat Apr 01 13:58:36," I think #lcfc @lcfc had some money left in last financial years budget \\ud83d\\udca5\"""
Sat Apr 01 13:58:40," RT @janeortonuk: Welcome back @alanbirchenall #lcfc \\ud83e\\udd8a\"""
Sat Apr 01 13:58:41," RT @SoccerSaturday: NEXT Marc Albrighton on the performance that started a new era for @LCFC https:\\/\\/t.co\\/XihL5OXr6P\"""
Sat Apr 01 13:58:41, RT @BBCMOTD: So
Sat Apr 01 14:06:12," #LCFC \\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\"""
Sat Apr 01 14:06:12, RT @LCFC: Today's starting XI: Schmeichel (c)
Sat Apr 01 14:06:23, RT @JackButland_One: good luck to the boys today
Sat Apr 01 14:06:35," #LeiSto Game started(1st half)\\nLeicester City 0 - 0 Stoke City \\n#PremierLeague @premierleague @LCFC @stokecity \\nhttps:\\/\\/t.co\\/D0CY2VwsxW\"""
Sat Apr 01 14:06:40," Great to see  @alanbirchenall back @lcfc #topman let's get this game going!!! #LeiSto\"""
Sat Apr 01 14:06:50," 5- \\u0644\\u064a\\u0633\\u062a\\u0631 \\u0633\\u064a\\u062a\\u064a 0-0 \\u0633\\u062a\\u0648\\u0643 \\u0633\\u064a\\u062a\\u064a #LEISTK\"""
Sat Apr 01 14:06:53," RT @stokecity: 4- Both sides are wearing black armbands this afternoon as a mark of respect for the recent Westminster attack #LCFC 0-0 #SC\\u2026\"""
Sat Apr 01 14:06:54," RT @NBCSportsSoccer: WATCH: @LCFC v. @stokecity\\n\\n@PremierLeague @NBCSports\\n\\nStream here \\u2192 https:\\/\\/t.co\\/yOq8OfbdmD https:\\/\\/t.co\\/QxwTwh6FFf\"""
Sat Apr 01 14:07:06," #MUFC #AFC #BRFC #CFC #MCFC @ManUtd @Arsenal @OneRovers @chelseafc @MCFC - The only teams to of won the premier league title!  Till #Lcfc ;)\"""
Sat Apr 01 14:07:08," RT @stokecity: 4- Both sides are wearing black armbands this afternoon as a mark of respect for the recent Westminster attack #LCFC 0-0 #SC\\u2026\"""
Sat Apr 01 14:07:09," RT @stokecity: \\ud83c\\udfa5 Lee Grant with the saves in his own pre-match warm up at the King Power Stadium #SCFC https:\\/\\/t.co\\/pmU05UygMa\"""
Sat Apr 01 14:07:10," Mans was balling even in the Championship fam @SKaneunyenye https:\\/\\/t.co\\/cwrotkj5xG\"""
Sat Apr 01 14:07:14," Come on @LCFC i'm out with a Stoke fan so lets stuff um please !!! \\u26bd\\u26bd\\u26bd\\u26bd\"""
Sat Apr 01 14:07:14," @LCFC #yb29\\u2764\\ufe0f\"""
Sat Apr 01 14:07:16," RT @abdiwahabahmed1: Live stream: #Leicestercity  vs #StokeCity  https:\\/\\/t.co\\/sVQdr5jWhf via @cadalool\"""
Sat Apr 01 14:07:17," RT @abdiwahabahmed1: Live stream: Leicester City vs #StokeCity  https:\\/\\/t.co\\/sVQdr5jWhf via @cadalool\"""
Sat Apr 01 14:16:19," Leicester City v Stoke City\\n\\nLive Stream : https:\\/\\/t.co\\/R8eFixJ6OU\\n\\ns1k1g6 #LeiSto #LCFC #PremierLeague #Matchday #SCFC #EPL #BPL #PL #FPL\"""
Sat Apr 01 14:16:28," RT @PLYouth: Congratulations to March's #PL2 Player of the Month - @stokecity's Julien Ngoy! \\n\\nA future #PL star?\\u2026 \"""
Sat Apr 01 14:16:29," RT @NiallOfficial: Wow ! @LCFC ! Incredible scenes . Unbelievable performance\"""
Sat Apr 01 14:16:42," 16- Shawcross gets a yellow card for a late foul on Gray out on the left hand side #LCFC 0-0 #SCFC\"""
Sat Apr 01 14:16:49," @LCFC Shawcross being dirty? Nooooooo way\"""
Sat Apr 01 14:16:51," RT @stokecity: \\ud83c\\udfa5 Lee Grant with the saves in his own pre-match warm up at the King Power Stadium #SCFC https:\\/\\/t.co\\/pmU05UygMa\"""
Sat Apr 01 14:16:54," RT @mrgeoffpeters: Great to see #lcfc legend @alanbirchenall back at the ground after his recent health troubles - along with the nurs\\u2026 \"""
Sat Apr 01 14:16:58," RT @SportPlaylists: Follow @stokecity Music Playlist on @DeezerUK https:\\/\\/t.co\\/OFXowVOFPw\"""
Sat Apr 01 14:17:02, RT @kickitout: A huge thank you to @officialbantams
Sat Apr 01 14:17:06," RT @kunfazed: My #PL predictions:\\n#LIVEVE 3-1\\n#BURTOT 0-2\\n#CHECRY 1-2\\n#HULWHU 1-1\\n#LEISTK 2-2\\n#MUNWBA 2-0\\n#WATSUN 1-0\\n#SOUBOU 2-2\\n#SWAMID 1\\u2026\"""
Sat Apr 01 14:17:07, RT @LCFC: Today's starting XI: Schmeichel (c)
Sat Apr 01 14:17:08," RT @petebetnow: Paddypower Custom #football\\n#WorldCupQualifiers #LFC #MCFC\\n#mufc #WBA #QPR #LCFC\\nBet \\u00a310 Get \\u00a330 Free Bets Claim-&gt;\\u2026 \"""
Sat Apr 01 14:17:10," PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:10," Getting the feeling that @LCFC fans a bit distracted ahead of #LeiSto - hope the players are focussed on the game! https:\\/\\/t.co\\/JMoTdjjiHN\"""
Sat Apr 01 14:17:11," Shawcross you dirty filthy cunt. #LEISTO #LCFC\"""
Sat Apr 01 14:17:19, RT @stokecity: \\ud83d\\udcdd #SCFC Starting XI v @LCFC: Grant; Johnson
Sat Apr 01 14:17:22," @stokecity Donkey\"""
Sat Apr 01 14:17:26," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:26," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:27," RT @NiallOfficial: FACT https:\\/\\/t.co\\/c46EC5SuVq\"""
Sat Apr 01 14:17:31," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:39," well this won't come back to haunt us not at all https:\\/\\/t.co\\/IDWRq3Gkzl\"""
Sat Apr 01 14:17:47," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:47," @mrdanwalker @SBerahino @juliette_grace @WBA @stokecity Dan. Honestly we really aren't interested. Hope he fulfils\\u2026 https:\\/\\/t.co\\/mH3fTQM5CC\"""
Sat Apr 01 14:17:51," #LeiSto GO FOXES @LCFC\"""
Sat Apr 01 14:17:51," RT @PachecoWerdem: @LCFC s\"""
Sat Apr 01 14:17:51, RT @LCFC: PICTURED: @Mahrez22 twists
Sat Apr 01 14:17:52," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:17:53," Goal - LCFC (16') - The Linger 0-1 LCFC : #ClubApp https:\\/\\/t.co\\/ySww5RgKIR\"""
Sat Apr 01 14:17:53," RT @LCFC: PICTURED: @premierleague football is back and so is the Birch! @alanbirchenall #LeiSto #lcfc https:\\/\\/t.co\\/7H9sLMAfda\"""
Sat Apr 01 14:25:41," Ndidi \\ud83d\\ude28 1\\/0 #LEISTK\"""
Sat Apr 01 14:25:41," Oh my god @Ndidi25 you naughty man. Stop it #lcfc\"""
Sat Apr 01 14:25:41," Ndidi goal of the day!!! #lcfc #leisto\"""
Sat Apr 01 14:25:43, GOAL: Leicester City 1 - 0 Stoke City. Wilfred Ndidi
Sat Apr 01 14:25:43," RT @letsrantlcfc: Welcome back Birch\\ud83d\\udc99 #lcfc https:\\/\\/t.co\\/8ec5UViYhR\"""
Sat Apr 01 14:25:45," Golazo del @LCFC\"""
Sat Apr 01 14:25:47," Yes Indeedy!! #lcfc #worldy\"""
Sat Apr 01 14:25:48," 25' \\u00a1GOLAZO!\\nWilfred Ndidi marca con un bombazo desde fuera del \\u00e1rea rival\\n1-0 el marcador ante @stokecity\\n#PremierLeague\"""
Sat Apr 01 14:25:50," Yes! Ndidi! #lcfc\"""
Sat Apr 01 14:25:51," 22- \\u0631\\u0643\\u0644\\u0629 \\u0631\\u0643\\u0646\\u064a\\u0629 \\u062e\\u0637\\u064a\\u0631\\u0629 \\u062a\\u0642\\u0637\\u0639 \\u0639\\u0646 \\u0637\\u0631\\u064a\\u0642 \\u062c\\u0631\\u0627\\u064a \\u0642\\u0628\\u0644 \\u0623\\u0646 \\u064a\\u0633\\u062f\\u062f \\u0623\\u062d\\u062f \\u0644\\u0627\\u0639\\u0628\\u0648\\u0646\\u0627.\\n\\u0644\\u064a\\u0633\\u062a\\u0631 \\u0633\\u064a\\u062a\\u064a 0-0 \\u0633\\u062a\\u0648\\u0643 \\u0633\\u064a\\u062a\\u064a #LEISTK\"""
Sat Apr 01 14:25:52," WHAT A GOAL #NDIDI @LCFC #FEARLESS.\"""
Sat Apr 01 14:25:53, RT @Football__Tweet: GOAL: Leicester City 1 - 0 Stoke City. Wilfred Ndidi
Sat Apr 01 14:25:55," Paddypower Custom #football\\n#WorldCupQualifiers #LFC #MCFC\\n#mufc #WBA #EFL #LCFC\\nBet \\u00a310 Get \\u00a330 Free Bets Claim-&gt;\\u2026 https:\\/\\/t.co\\/mo4oRFibhu\"""
Sat Apr 01 14:25:56," GOAL Leicester *1-0 Stoke WILFRED NDIDI (25') (Ass: Simpson) https:\\/\\/t.co\\/Q0QJNqYVh2 #LEISTK #LCFC #scfc #EPL\"""
Sat Apr 01 14:25:56, RT @Football__Tweet: GOAL: Leicester City 1 - 0 Stoke City. Wilfred Ndidi
Sat Apr 01 14:25:56," #LEISTK\\nGOAL: #Leicester1  #Stoke 0\\n[Ndidi 25\\u2019]\\n#LCFC\\n#Stoke \\n#SCFC\"""
Sat Apr 01 14:25:56," Ndidiiiiiiiiiiii my man!\\ud83d\\ude4c\\ud83c\\udffd\\ud83d\\udcaa\\ud83c\\udffd\\ud83d\\udc99 #lcfc #LeiSto\"""
Sat Apr 01 14:25:56, 25' GOAL
Sat Apr 01 14:25:57," RT @talkSPORTLive: GOAL! LEICESTER!! NDIDI!! 1-0! Listen outside the UK &amp; RoI with @talkSPORTLive https:\\/\\/t.co\\/HkdpGBbxkb  #LCFC #SCFC\\u2026 \"""
Sat Apr 01 14:25:57," Holy Bastard Wowsers!!! Ndidi!!! #lcfc\"""
Sat Apr 01 14:25:58," Gooooooool @LCFC \\u26bd\\ud83d\\udc99\"""
