Date.Created,Text
Sun Mar 12 17:47:24, @Daniel_Agyei Agyei on for his league Burnley debut
Sun Mar 12 17:47:24," Into injury time now as Liverpool continue to hold on to a 2-1 lead #PL\"""
Sun Mar 12 17:47:24," RT @WhoScored: Emre Can: Has now scored twice as many Premier League goals for Liverpool this season (4) than his previous 2 seasons for th\\u2026\"""
Sun Mar 12 17:47:25," Lallana og Woodburn ser ut som to dr\\u00e5per vann utp\\u00e5 der #LivBur #2pleaks\"""
Sun Mar 12 17:47:25," RT @empireofthekop: When proper midfielders played for Liverpool. https:\\/\\/t.co\\/wjBl6ZQiqz\"""
Sun Mar 12 17:47:25," RT @ouzym: We're sitting back and absorbing pressure from *Burnley* #LFC https:\\/\\/t.co\\/7g7cMRNFYG\"""
Sun Mar 12 17:47:25," RT @LFC: 89: A final change for Burnley. Scott Arfield is replaced by Daniel Agyei.\\n\\n[2-1]\"""
Sun Mar 12 17:47:25," Good to see Burnley signed one of our #afcwimbledon youth players and they are playing him today!\"""
Sun Mar 12 17:47:26, RT @BurnleyOfficial: 88 - Burnley sub and @premierleague debut for @Daniel_Agyei
Sun Mar 12 17:47:26," RT @thisisanfield: 4 mins added time.\\n\\nhttps:\\/\\/t.co\\/ArFCwvMjIY\"""
Sun Mar 12 17:47:26," Aaaaaa Man\\u00e9 dmg #LIVBUR\"""
Sun Mar 12 17:47:26, #pojoksatu Babak Pertama
Sun Mar 12 17:47:26," We're time wasting against Burnley....\"""
Sun Mar 12 17:47:27, RT @NBCSportsSoccer: Burnley thought they were going to enter halftime with a 1-0 lead over Liverpool
Sun Mar 12 17:47:27," 4 minutes added come on Burnley\"""
Sun Mar 12 17:47:27," RT @JOE_co_uk: Emre Can fouls a Burnley player. Yellow card for Granit Xhaka.\"""
Sun Mar 12 17:47:27," Latest: #LFC 2 #Burnley 1 (4 mins added)\\nhttps:\\/\\/t.co\\/u7GSWjfhnV\"""
Sun Mar 12 17:47:27, Babak Pertama
Sun Mar 12 17:47:28," Great top hand save by @TomHeatonGK! #LIVBUR @premierleague #GKunion\"""
Sun Mar 12 17:47:28," Liverpool v Burnley. They've both looked fucking shite tbf.\"""
Sun Mar 12 17:47:28, Liverpool keeping it in the corner against Burnley
Sun Mar 12 17:47:28," \\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02 https:\\/\\/t.co\\/59vCYdXpLp\"""
Sun Mar 12 17:47:29," RT @premierleague: \\ud83d\\udcf8 @LFC celebrate taking the lead through Emre Can's long-range strike. It's Liverpool 2-1 Burnley with 20 mins to g\\u2026 \"""
Sun Mar 12 17:47:29," Liverpool holding it in the corner against Burnley at home ....\"""
Sun Mar 12 17:47:29," RT @thisisanfield: 4 mins added time.\\n\\nhttps:\\/\\/t.co\\/ArFCwvMjIY\"""
Sun Mar 12 17:47:30," Yupppp https:\\/\\/t.co\\/PlU0s1isY4\"""
Sun Mar 12 17:47:30," + 4 minutes... #LIVBUR 2-1\"""
Sun Mar 12 17:47:30," Some good ball keeping here to be fair. Can't see Burnley scoring now. #LIVBUR\"""
Sun Mar 12 17:47:31," Four added minutes #LIVBUR\"""
Sun Mar 12 17:47:31," RT @LFC: 89: A final change for Burnley. Scott Arfield is replaced by Daniel Agyei.\\n\\n[2-1]\"""
Sun Mar 12 17:47:31," RT @thisisanfield: 4 mins added time.\\n\\nhttps:\\/\\/t.co\\/ArFCwvMjIY\"""
Sun Mar 12 17:47:32," RT @NBCSportsSoccer: Emre Can and did put Liverpool up 2-1 on Burnley https:\\/\\/t.co\\/zlz8HDBGJT\"""
Sun Mar 12 17:47:32," RT @LFC: 89: A final change for Burnley. Scott Arfield is replaced by Daniel Agyei.\\n\\n[2-1]\"""
Sun Mar 12 17:47:33," Hahahahahahahahaha https:\\/\\/t.co\\/iM05555mfL\"""
Sun Mar 12 17:47:33," RT @LFC: 89: A final change for Burnley. Scott Arfield is replaced by Daniel Agyei.\\n\\n[2-1]\"""
Sun Mar 12 17:47:34," RT @ReviewFootball: This is why Liverpool should sign James Ward-Prowse. He can take set-pieces. Very useful skill to have\"""
Sun Mar 12 17:47:35," 17 years old playing for liverpool alr... https:\\/\\/t.co\\/zIUV0aY2Fw\"""
Sun Mar 12 17:47:36," RT @LivEchoLFC: Lallana goes into the book... but now have a corner https:\\/\\/t.co\\/HzVvjei9Uf\"""
Sun Mar 12 17:47:36," 4 \\u062f\\u0642\\u0627\\u0626\\u0642 \\u0644\\u0628\\u062f\\u0644 \\u0627\\u0644\\u0636\\u0627\\u0626\\u0639\\n#LIVBUR\"""
Sun Mar 12 17:47:37," +4 mins. 2-1. #LIVBUR\"""
Sun Mar 12 17:47:38," a great sign for @LFC .. not playing well but still no the way to grabbing 3 points! .. #LIVBUR\"""
