Date.Created,Text
Sat Apr 01 13:58:59,"Come on United! #mufc\"""
Sat Apr 01 13:58:59,"#MUFC outrun by opponents in all but three of their 27 Premier League matches this season \\u2013 the worst record by a PL side in 2016-17.\"""
Sat Apr 01 13:58:59,RT @MUFC_Malaysia: Manchester United XI vs WBA: De Gea
Sat Apr 01 13:58:59,"\\ud83d\\udcf7 Best #MUFC Archive Photos #Manchester\\u00a0 https:\\/\\/t.co\\/zwiWcTIoFI\"""
Sat Apr 01 13:58:59,"RT @PeteKopite: He looks about 10. https:\\/\\/t.co\\/vT6qitFSoA\"""
Sat Apr 01 13:58:59,"RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 13:58:59,"\\ud83d\\udcf7 Best #MUFC Archive Photos #Manchester\\u00a0 https:\\/\\/t.co\\/59AS7f1VQp\"""
Sat Apr 01 13:58:59,"RT @MUFCScoop: COME ON UNITED!! \\ud83d\\udd34\\ud83d\\udd34\\ud83d\\udd34\\n\\n#MUFC\"""
Sat Apr 01 13:58:59,"RT @ManUtd: Here is how #MUFC will line up today... #MUNWBA https:\\/\\/t.co\\/nW85LYaXWE\"""
Sat Apr 01 13:58:59,"RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:00,"RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 13:59:00,"RT @petebetnow: Betbright Boosts #football\\nFree \\u00a350 bet #mufc #LFC 1\\nEnhanced odds\\n#ACCA CLUB\\nPlace 5 ACCA's Get One Free  Claim-&gt;\\u2026 \"""
Sat Apr 01 13:59:00,"Ayo ayo ayo #MUNWBA\"""
Sat Apr 01 13:59:00,"RT @arinanoviaa: Come on Reds ! 3 point \\ud83d\\udc4a\\ud83d\\udc4a #GGMU @ManUtd @ManUtd_ID\"""
Sat Apr 01 13:59:00,"Rashford is due a goal #mufc\"""
Sat Apr 01 13:59:00,"RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:00,"Sin Zlatan no son nada JAJAJJAJA https:\\/\\/t.co\\/FDFMWn2hLL\"""
Sat Apr 01 13:59:00," @ManUtd match day! #GGMU #MUFC\"""
Sat Apr 01 13:59:00," #GGMU #MUFC \\ud83d\\udd34\\u26aa\\ufe0f\\u26ab\\ufe0f\"""
Sat Apr 01 13:59:00, Here we go
Sat Apr 01 13:59:00," Starting XI for the game today. #MUNWBA https:\\/\\/t.co\\/Coj3Zos1eh\"""
Sat Apr 01 13:59:01," Mourinho v Pulis what a treat.\\n\\nJoin us for min-by-min coverage of  #MUFCvWBA right here &gt;&gt;&gt;\\n\\nhttps:\\/\\/t.co\\/XCEHf18MXF\"""
Sat Apr 01 13:59:00," @ManUtd GOOD LUCK LADS!\\ud83d\\udd34\\ud83d\\udd34 COME ON UNITED\\ud83d\\udc4a\"""
Sat Apr 01 13:59:01, @ManUtd Pittsburgh
Sat Apr 01 13:59:01, we all beeen clamouring for Rashford to get a chance
Sat Apr 01 13:59:01," RT @ChrisSmalling: Different view for me today \\ud83d\\ude29 but the boys are back \\ud83e\\udd19\\ud83c\\udffd ...lets go get those 3 points \\u2705 #MUFC https:\\/\\/t.co\\/HWmo5scglH\"""
Sat Apr 01 13:59:01," COYB #wba\"""
Sat Apr 01 13:59:01," So much pace in the front 4 #GGMU https:\\/\\/t.co\\/Ticka5qhfZ\"""
Sat Apr 01 13:59:01," Gooo #ManchesterUnited \\ud83d\\ude0d\\ud83d\\ude0d\\ud83d\\ude0d\\u2764\\u2764\\u2764\\u2764 @ManUtd\"""
Sat Apr 01 13:59:01," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:01," RT @ManUtd: We're back in Premier League action today - come on! #MUFC https:\\/\\/t.co\\/eaYUSbBGvx\"""
Sat Apr 01 13:59:01," RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 13:59:01," RT @FootyStreamss: Manchester United vs West Bromwich Albion stream #mufc RT to help a fan  https:\\/\\/t.co\\/nAQw6QpA1f https:\\/\\/t.co\\/cFfXZ6TSJp\"""
Sat Apr 01 13:59:02," RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 13:59:02," RT @ManUtd: .@JesseLingard hit his first #MUFC goal during last season's home meeting with West Brom. https:\\/\\/t.co\\/q8X3IZbeNB\"""
Sat Apr 01 13:59:02," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:02," RT @ChrisSmalling: Different view for me today \\ud83d\\ude29 but the boys are back \\ud83e\\udd19\\ud83c\\udffd ...lets go get those 3 points \\u2705 #MUFC https:\\/\\/t.co\\/HWmo5scglH\"""
Sat Apr 01 13:59:02," @SoniaJKT48 @MelodyJKT48 @AchaJKT48  #MUFC\"""
Sat Apr 01 13:59:02," @fame_thehuman \\u0e2a\\u0e31\\u0e01\\u0e2b\\u0e19\\u0e48\\u0e2d\\u0e22\\u0e2b\\u0e27\\u0e48\\u0e30\\u0e40\\u0e1e\\u0e37\\u0e48\\u0e2d\\u0e19 https:\\/\\/t.co\\/0lLK7zCLyK\"""
Sat Apr 01 13:59:03," @WBA @ManUtd #VenEx | Salom\\u00f3n Rond\\u00f3n comenzar\\u00e1 desde el banco con el West Brom vs Manchester United. Su sequ\\u00eda le quit\\u00f3 la titularidad.\"""
Sat Apr 01 13:59:03," RT @ManUtd: .@Persie_official with a screamer! \\ud83d\\ude0d https:\\/\\/t.co\\/oqhIS63lGz\"""
Sat Apr 01 13:59:03," RT @ManUtd_Es: Recordamos el once titular para el partido de hoy #mufc https:\\/\\/t.co\\/K3ZAR4MW4R\"""
Sat Apr 01 13:59:03," Cmon UNITED!!! #MUFC #MUNWBA #PremierLeague\"""
Sat Apr 01 13:59:03," Come on please lads.. 3 points nothing else will do #MUFC\"""
Sat Apr 01 13:59:04, RT @sistoney67: With @ManUtd players dropping like flies
Sat Apr 01 13:59:03," RT @ChrisSmalling: Different view for me today \\ud83d\\ude29 but the boys are back \\ud83e\\udd19\\ud83c\\udffd ...lets go get those 3 points \\u2705 #MUFC https:\\/\\/t.co\\/HWmo5scglH\"""
Sat Apr 01 13:59:04," RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 13:59:04," RT @ManUtd: Win the new @Columbia1938 OutDry #MUFC jacket!\\n\\nEnter here: https:\\/\\/t.co\\/6SwVupQ8XJ https:\\/\\/t.co\\/Qz9VmAV4nu\"""
Sat Apr 01 13:59:04," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:04," Manchester United v West Bromwich\\n\\nLive Stream : https:\\/\\/t.co\\/uXo7UmXE3s\\n\\ns1k1g8 #mufc #Manutd #MUNWBA #Matchday #PremierLEague #WBA #PL\"""
Sat Apr 01 13:59:04," Starting XI #mufc look so much pace. Run!\"""
Sat Apr 01 13:59:04, RT @OptaJoe: 2 - Man United have lost two of their last three PL home games against WBA (W1)
Sat Apr 01 13:59:05," let's go @ManUtd \\u26bd\\ufe0f\"""
Sat Apr 01 13:59:05," No IBRA\\nNo Mata\\nNo Pogba\\nNo Herrera\\nNo Smalling\\nNo Jones\\n..\\nNO WORRIES!! #ManUnited #GGMU #MUNWBA\"""
Sat Apr 01 13:59:05," Agora na Televis\\u00e3o:  Man Utd - WBA [SPORT.TV3 \\u00e0s 15:00] https:\\/\\/t.co\\/QIoi8lMcIH\"""
Sat Apr 01 13:59:05," @ManUtd need a win from this\"""
Sat Apr 01 13:59:05," C'mon lads #MUFC\"""
Sat Apr 01 13:59:05," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 13:59:05," Lets go @ManUtd 3 points needed today please https:\\/\\/t.co\\/DeMdutyUjq\"""
Sat Apr 01 13:59:06, RT @ManUtdMaster: Manchester United registra 3
Sat Apr 01 14:07:26," RT @ChrisSmalling: Different view for me today \\ud83d\\ude29 but the boys are back \\ud83e\\udd19\\ud83c\\udffd ...lets go get those 3 points \\u2705 #MUFC https:\\/\\/t.co\\/HWmo5scglH\"""
Sat Apr 01 14:07:26," @ManUtd score\"""
Sat Apr 01 14:07:26," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 14:07:27," RT @ManUtd: Here's a reminder of today's #MUFC starting XI... #MUNWBA https:\\/\\/t.co\\/gQoadeVsXZ\"""
Sat Apr 01 14:07:27, RT @FullTimeDEVILS: West Brom seem happy to sit back on us
Sat Apr 01 14:07:28," Well we can see how this game going to play out WBA don't want the ball. Going to be a long afternoon #mufc\"""
Sat Apr 01 14:07:29," #MUFC #MCFC Liverpool v Everton: Watch Ross Barkley\\u2019s horror tackle on Dejan Lovren https:\\/\\/t.co\\/oPcZYHJeWR\"""
Sat Apr 01 14:07:30," RT @indomanutd: Kick off babak pertama #MUFC vs WBA!!\"""
Sat Apr 01 14:07:30," RT @ManUtd_HQ: Matthew Willock becomes the 259th youth team player to makes the Manchester United squad #mufc https:\\/\\/t.co\\/DQMglV4ZB3\"""
Sat Apr 01 14:07:30," After really long watching ManUtd play...\\ud83d\\ude0a\\u26bd\\ud83c\\udfc6 #FallinlovewithReds #Zlatanbro \\u2014 watching Man Utd vs West Bromwich\"""
Sat Apr 01 14:07:31, RT @ManUtd_ID: 1' - @MarcusRashford memulai pertandingan. Let's do this
Sat Apr 01 14:07:32, RT @ManUtd: 1' - @MarcusRashford gets the game going. Let's do this
Sat Apr 01 14:07:32, Anyone got a stream for #MUFC game on android
Sat Apr 01 14:07:32," RT @RobertoBonafont: Por tercera vez en la temporada Antonio Valencia elegido el mejor de Manchester https:\\/\\/t.co\\/0TFVa8y94Z\"""
Sat Apr 01 14:07:33," RT @nattaboat: #mufc \\u0e04\\u0e37\\u0e19\\u0e19\\u0e35\\u0e49\\u0e15\\u0e49\\u0e2d\\u0e07\\u0e21\\u0e32\\u0e27\\u0e48\\u0e30\"""
Sat Apr 01 14:07:33, RT @ManUtd: 1' - @MarcusRashford gets the game going. Let's do this
Sat Apr 01 14:07:33," RT @ManUtd: 6' - #MUFC have enjoyed the better of the possession in what has been a measured start at Old Trafford. #MUNWBA\"""
Sat Apr 01 14:07:34," RT @RadioCitizenFM: KICK OFF: Man United VS WBA Live on @RadioCitizenFM @KakaZema @icia_jacob @bekimwamburi #KarakanaYaSoka Toa kauli y\\u2026 \"""
Sat Apr 01 14:07:34," RT @AnthonyMartial: Let's go @ManUtd !! https:\\/\\/t.co\\/DLhqSGeDCM\"""
Sat Apr 01 14:07:35," Ojo que esta jugando el mejor #mufc\"""
Sat Apr 01 14:07:35," RT @ManUtd: The lads are being put through their paces in the warm-up. #MUFC #MUNWBA https:\\/\\/t.co\\/yVpcKSytOE\"""
Sat Apr 01 14:07:36," Finished work and now watching Manchester United don't u dare fuck this up @ManUtd\"""
Sat Apr 01 14:07:36, 1' - MarcusRashford gets the game going. Let's do this
Sat Apr 01 14:07:36, RT @SportEmperor: Chelsea v Palace \\nMan Utd v WBA \\nBurnley v Spurs \\nHull v West Ham\\n\\nHD live on PC
Sat Apr 01 14:07:36," RT @DodgeLRC: #MUFC @LiamMcNamara9 @simonmckenna2 @sbscndr @garypriday @twistinmymelons @ManUtdNews24x7 @Bra_Ritchy @mano1377 @GiggsLeftShoe\"""
Sat Apr 01 14:07:36," RT @nattaboat: #mufc \\u0e04\\u0e37\\u0e19\\u0e19\\u0e35\\u0e49\\u0e15\\u0e49\\u0e2d\\u0e07\\u0e21\\u0e32\\u0e27\\u0e48\\u0e30\"""
Sat Apr 01 14:07:37, now playing at astro 119 #jdt vs pahang
Sat Apr 01 14:07:37," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 14:07:37," RT @ManUtd: Ole Gunnar Solskjaer scored his 126th and final #MUFC goal 10 years ago today. \\n\\nLegend! https:\\/\\/t.co\\/WjnOWTO0Gc\"""
Sat Apr 01 14:07:37," #LigaPremierTD \\u00a1Ya se juega! En Old Trafford.\\n\\u26bd @ManUtd vs @WBA \\n\\ud83d\\udcf1 https:\\/\\/t.co\\/RYisnM4JGm https:\\/\\/t.co\\/j6lPIGhKKV\"""
Sat Apr 01 14:07:38," RT @EddictsFx: .@Ibra_official|lockscreen| .@ManUtd \\nEdit by .@SB7GFX https:\\/\\/t.co\\/NpdqsfUMQK\"""
Sat Apr 01 14:07:38," RT @ManUtd: The teams emerge from the tunnel at Old Trafford. Here we go... #MUFC #MUNWBA https:\\/\\/t.co\\/onFUS93A4a\"""
Sat Apr 01 14:07:38, \\u26bd\\ufe0f Come on
