Date.Created,Text
Sat Apr 01 16:30:43,"Come on #AFCB\"""
Sat Apr 01 16:30:45,"HERE WE GO #SOUBOU \\ud83c\\udf52\\ud83c\\udf52\\ud83c\\udf52\"""
Sat Apr 01 16:30:45,"GWARN wait until i get home first https:\\/\\/t.co\\/uaEm5aKzV9\"""
Sat Apr 01 16:30:45,"RT @NBCSportsSoccer: WATCH: @SouthamptonFC v. @afcbournemouth\\n\\n@PremierLeague @NBC\\n\\nStream here \\u2192 https:\\/\\/t.co\\/bHUPgTBwHc https:\\/\\/t.co\\/XQU8\\u2026\"""
Sat Apr 01 16:30:45,Claude Puel always relax and calm lol 
Sat Apr 01 16:30:46,"Start earning tax free at https:\\/\\/t.co\\/a8ZoVsj2r9 #MCFC  #LFC #EFC #afcb #avfc #CFC #CPFC #lcfc #nufc #NFFC #WHUFC #thfc #safc\"""
Sat Apr 01 16:30:46,"Match started\\nSouthampton : Bournemouth\\n#SOUBOU https:\\/\\/t.co\\/TSEJGoh3He\"""
Sat Apr 01 16:30:46,"Follow the action as #SaintsFC host #AFCB here: https:\\/\\/t.co\\/p0aOtWYFhA https:\\/\\/t.co\\/9LEw6lDdSs\"""
Sat Apr 01 16:30:48,"Match started\\nSouthampton : Bournemouth\\n#SOUBOU https:\\/\\/t.co\\/veJTikfhQf\"""
Sat Apr 01 16:30:49,"RT @SouthamptonFC: The teams are in!\\n\\nHere's how #SaintsFC will line-up against #AFCB this afternoon: https:\\/\\/t.co\\/gJTUr3TLJT\"""
Sat Apr 01 16:30:49,"Here we go!! @afcbournemouth #afcb #cherries\"""
Sat Apr 01 16:30:50," @SouthamptonFC if you want everyone to sing along to that song why not put the words up on the big screen?\"""
Sat Apr 01 16:30:50, RT @SouthamptonFC: 1: We're under way against #AFCB at St Mary's!\\n\\nLet's do this
Sat Apr 01 16:30:50," RT @Johnnnn92: Finishing touches for @SouthamptonFC v @afcbournemouth first use of the new STADIUM PRO goals supplied by @HarrodUK\\u2026 \"""
Sat Apr 01 16:30:50," .@afcbournemouth should be playing him full now.\"""
Sat Apr 01 16:30:50," Just put it on \\ud83d\\udc4d\\ud83c\\udffbcherries \\u2764\\ufe0f\\ufe0f https:\\/\\/t.co\\/CKVeNYNoGd\"""
Sat Apr 01 16:30:52," Pitch here at St Mary's in tip top shape for the 3rd @premierleague derby of the day @SouthamptonFC v\\u2026 https:\\/\\/t.co\\/FSYFDbcil0\"""
Sat Apr 01 16:30:54, RT @afcbournemouth: 01: Team huddles complete and we're off! Blue away kit for us
Sat Apr 01 16:30:54," RT @Borotas_spirit: @SouthamptonFC can pick on autistic lad with a firework in his pocket and @ChelseaFC cannot identify @CPFC fan dropping\\u2026\"""
Sat Apr 01 16:30:56," \\\""We're confident we can carry on where we left off. We're aware of our record here.\\\"" -Eddie Howe. #Cherries #PL #SOUBOU #pregame #curse\"""
Sat Apr 01 16:30:57," The 'yays' have it. Can Jay Rod find the net for #saintsfc? We're off and running at St Mary's against #afcb. https:\\/\\/t.co\\/bpjzlaCFKA\"""
Sat Apr 01 16:30:57, RT @afcbournemouth: Fantastic noise from the travelling 3
Sat Apr 01 16:30:58," Watch Now \\ud83d\\udcfa\\n\\nSouthampton vs Bournemouth \\n\\nlive stream\\n\\nhttps:\\/\\/t.co\\/zdeWnpoODA \\u00a0#SOUBOU\"""
Sat Apr 01 16:30:58," Do it for your boy. A goal and an assist. https:\\/\\/t.co\\/3AVfFOv4s3\"""
Sat Apr 01 16:30:58, RT @afcbournemouth: Fantastic noise from the travelling 3
Sat Apr 01 16:30:59," (Firsthalf) SOUTHAMPTON v BOURNEMOUTH come on u #SaintsFC #coyr #wematchon #upthesaints #SOUBOU https:\\/\\/t.co\\/1FoVxi2fOF\"""
Sat Apr 01 16:31:00," Learn to #bookiebash_uk at  https:\\/\\/t.co\\/jkD1RpddKs\\n #MCFC #MUFC #LFC #EFC #afcb #avfc #CFC #CPFC #lcfc #nufc #NFFC #WHUFC\"""
Sat Apr 01 16:31:00, RT @SouthamptonFC: 1: We're under way against #AFCB at St Mary's!\\n\\nLet's do this
Sat Apr 01 16:31:02," KICK OFF #SOUBOU\"""
Sat Apr 01 16:31:02," Ma\\u00e7 ba\\u015flad\\u0131! #Southampton ile #AFCBournemouth kar\\u015f\\u0131la\\u015f\\u0131yor\"""
Sat Apr 01 16:31:02," Fotboll live \\u00e5 p\\u00e5 TVn perfekt l\\u00f6rdag #SOUBOU #saturday\"""
Sat Apr 01 16:31:02," RT @premierleague: The last of the day's 8\\ufe0f\\u20e3 #PL matches is under way! \\n\\nWhat does this South Coast derby hold in store for us? #SOUBOU htt\\u2026\"""
Sat Apr 01 16:31:03," \\u041d\\u0430\\u0447\\u0430\\u043b\\u0438 \\u0421\\u0430\\u0443\\u0442\\u0433\\u0435\\u043c\\u043f\\u0442\\u043e\\u043d - \\u0411\\u043e\\u0440\\u043d\\u043c\\u0443\\u0442 #SOUBOU\"""
Sat Apr 01 16:31:07," E' iniziata #Southampton - #AFCBournemouth\\n#PremierLeague https:\\/\\/t.co\\/AUecZFqoP8\"""
Sat Apr 01 16:31:10," RT @SouthamptonFC: The teams are in!\\n\\nHere's how #SaintsFC will line-up against #AFCB this afternoon: https:\\/\\/t.co\\/gJTUr3TLJT\"""
Sat Apr 01 16:31:11, RT @SouthamptonFC: 1: We're under way against #AFCB at St Mary's!\\n\\nLet's do this
Sat Apr 01 16:31:12, RT @SouthamptonFC: #SaintsFC team to face #AFCB: Forster
Sat Apr 01 16:31:13," Go @afcbournemouth #BeatSouthhampton #PL\"""
Sat Apr 01 16:31:16," \\u26bd\\ufe0f | The South Coast derby is underway! \\n\\nWho's your money on? #SOUBOU \\n\\nBet here: https:\\/\\/t.co\\/tHhFgASYgo https:\\/\\/t.co\\/hfMb1wK24a\"""
