Date.Created,Text
Sat Mar 18 15:56:55,"RT @Bolanet: #LiveBolanet\\nLink Streaming\\nStoke City vs Chelsea\\nPC\\nhttps:\\/\\/t.co\\/ojg1udkVRY\\nMobile\\nhttps:\\/\\/t.co\\/wTDwgElIgO https:\\/\\/t.co\\/2TagS\\u2026\"""
Sat Mar 18 15:56:55,"RT @OfficialFPL: #STKCHE BONUS POINTS AS IT STANDS\\n\\n3 - Willian\\n2 - Walters\\n1 - Kante\"""
Sat Mar 18 15:56:55,"RT @danlevene: HT: Stoke 1-1 Chelsea. Willian kick finds gap. Walters pen after Cahill push. Chelsea trying to play football. Stoke trying\\u2026\"""
Sat Mar 18 15:56:55,"RT @historyinmoment: Patti Smith Chelsea Hotel - 1969 https:\\/\\/t.co\\/k8R2pNLnZn\"""
Sat Mar 18 15:56:55,"RT @OhlsonMary: We would be so Lucky to get a Beautiful Mind and Moral woman to run for office! https:\\/\\/t.co\\/DQeFQNlW6t\"""
Sat Mar 18 15:56:56," @JombloFootballs emang dramanya gitu min. kek mou di Chelsea\"""
Sat Mar 18 15:56:56," RT @mattmfm: Imagine if Hillary Clinton met with Merkel and Chelsea Clinton was seated next to her for official meeting. \\n\\nYou c\\u2026 \"""
Sat Mar 18 15:56:56, RT @ChelseaFC: Chelsea 11 v Stoke (3-4-3): Courtois; Azpilicueta
Sat Mar 18 15:56:56," RT @ChelseaFC: Half-time: Stoke 1-1 Chelsea. @willianborges88's excellent free-kick cancelled out by a Walters penalty. #STKCHE https:\\/\\/t.c\\u2026\"""
Sat Mar 18 15:56:57," We'll come back stronger in the second half \\ud83d\\udcaa #STKCHE #KTBFFH #CFC #PL \\ud83d\\udc99 https:\\/\\/t.co\\/bgOD5KKzfR\"""
Sat Mar 18 15:56:57," RT @akaebube: This Refree did his youth service at Federal character commission\\n\\nHe has been zoning and balancing\\n\\nCancelled goal. Awarded\\u2026\"""
Sat Mar 18 15:56:57," RT @ChelseaKelv: Chris Waddle says Chelsea haven't been in a physical battle all season until today. He obviously missed the game five days\\u2026\"""
Sat Mar 18 15:56:57," RT @Stevemariga1: @totoomarih @bekimwamburi @kakazema @radiocitizenfm @stokecity leo chelsea pia wachunge sana wasifanywe kama arsenal #kar\\u2026\"""
Sat Mar 18 15:56:57," Revansje for Walters. Husker hans 100. PL kamp mot Chelsea; to straffebom og sj\\u00f8lm\\u00e5l. #2pl @Petter_Myhre @TV2_Jon\"""
Sat Mar 18 15:56:57," RT @102greatgoals: Worth an Assist! \\n\\nDiego Costa\\u2019s crafty role in Willian\\u2019s opener for Chelsea v Stoke (Video)\\u2026 \"""
Sat Mar 18 15:56:58," RT @Chelseabible1: CHELSEA GOAL!!! WILLIAN 1-0!!!\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99 #CFC\"""
Sat Mar 18 15:56:58, RT @TimJHanrahan: Chelsea Clinton named to Expedia board. If reading filings correctly
Sat Mar 18 15:56:59," RT @Ch17aag: Flashback to this gem by @JonWalters19 in 2011 #STKCHE #scfc https:\\/\\/t.co\\/3rpqNY4cTA\"""
Sat Mar 18 15:56:59," Guy. https:\\/\\/t.co\\/4QSpQSHm7a\"""
Sat Mar 18 15:56:59, RT @datGuyKOFO: In Europe
Sat Mar 18 15:56:59, RT @joehallwords: Bayern
Sat Mar 18 15:56:59, Babak Pertama
Sat Mar 18 15:56:59," RT @Squawka: Stoke 1-1 Chelsea HT:\\n\\nShots: 1-4\\nPass accuracy: 72%-82%\\nChances created: 0-4\\nPossession: 43%-57%\\n\\nChelsea dominant\\u2026 \"""
Sat Mar 18 15:56:59," O JAIZ MARCA PEEEEENALTI https:\\/\\/t.co\\/5dDkjmkVhu\"""
Sat Mar 18 15:57:00," RT @mattmfm: Imagine if Hillary Clinton met with Merkel and Chelsea Clinton was seated next to her for official meeting. \\n\\nYou c\\u2026 \"""
Sat Mar 18 15:57:00, RT @Sheep2Wolves: What exactly does @ChelseaClinton know about travel that warrants two board seats?\\n\\nOh right
Sat Mar 18 15:57:01," Chelsea fans have to be the highest moaning fans on Twitter when being top of the league. EVER.\"""
Sat Mar 18 15:57:01," @JJDOESYT Not even close to Chelsea &amp; Spurs CB's this season\"""
Sat Mar 18 15:57:01, Alright
Sat Mar 18 15:57:01," RT @yooku1192: Team line-up and other exclusive news updates in the next 15mins. \\n#STKCHE \\n#AlomoOnEpl\"""
Sat Mar 18 15:57:02, RT @ChelseaFC: That was a frenetic first half
Sat Mar 18 15:57:02," RT @ESPNFC: #PL HT scores:\\n\\nStoke 1-1 Chelsea\\nWest Ham 1-3 Leicester\\nEverton 1-0 Hull\\nCrystal Palace 0-0 Watford\\nSunderland 0-0\\u2026 \"""
Sat Mar 18 15:57:02, Babak Pertama
Sat Mar 18 15:57:03," RT @iChelseaTweets: Pedro's work rate is nothing short of brilliant for Chelsea!\"""
Sat Mar 18 15:57:03," RT @SiaranBolaLivee: HT #EPL\\nCrystal Palace 0-0 Watford\\nEverton 1-0 Hull City\\nStoke City 1-1 Chelsea\\nSunderland 0-0 Burnley\\nWest Ham 1-3\\u2026 \"""
Sat Mar 18 15:57:03," chelsea handler porno #rebecca linares anal creampie https:\\/\\/t.co\\/Sfdzy9sg6F\"""
Sat Mar 18 15:57:03, L\\u00e5tsasbet 3 000 kr till Unibet-odds 1
Sat Mar 18 15:57:04," RT @ChelseaFC: Half-time: Liverpool 0-1 Chelsea. A @DavidLuiz_4 free-kick is the difference at the break... #LIVCHE https:\\/\\/t.co\\/pRjrLYVTxQ\"""
Sat Mar 18 15:57:04," Crazy what no Eden Hazard does to Chelsea. We look so average \\ud83d\\ude13\"""
Sat Mar 18 15:57:04," RT @KingRocfella: Bruhh. Costa needs to go to China after this season. His heart is no longer in Chelsea.\"""
Sat Mar 18 15:57:04," RT @ChelseaFC: Half-time: Stoke 1-1 Chelsea. @willianborges88's excellent free-kick cancelled out by a Walters penalty. #STKCHE https:\\/\\/t.c\\u2026\"""
Sat Mar 18 15:57:05," RT @Squawka: Chelsea have now failed to keep a clean sheet in any of their last 6 Premier League games.\\n\\nUnusual from Antonio Co\\u2026 \"""
Sat Mar 18 15:57:05," RT @GOAL_ID: HT: Stoke City 1-1 Chelsea | LIVE: https:\\/\\/t.co\\/46dQUucVuB #MatchdayGoal https:\\/\\/t.co\\/mHebLBzIKk\"""
Sat Mar 18 15:57:05, Babak Pertama
Sat Mar 18 15:57:05," RT @ItzBraKevin: Will Hazard's absence have a positive effect on Chelsea's performance today? #AlomoOnEPL @Alomo_Base\"""
Sat Mar 18 15:57:05," RT @8Fact_Footballl: Arsenal\\u2019s last three Premier League away games:\\n\\nWest Brom 3-1 Arsenal\\nLiverpool 3-1 Arsenal\\nChelsea 3-1 Arsenal\\n\\nS\\u2026 \"""
Sat Mar 18 15:57:06," RT @fred_galeyCP: \\\""What fresh hell am I living in where I am going to have to sit through Chelsea Clinton running for office?\\\""-- that quote\\u2026\"""
Sat Mar 18 15:57:06," Thanks Chelsea and Nate Day for following me! Check out https:\\/\\/t.co\\/lvEx3piECj if you want to connect further! :)\"""
Sat Mar 18 15:57:06," @ClementzWelley asyik bolos je chelsea sekarang. dah tak power defend dah\"""
Sat Mar 18 15:57:06," RT @GaryLineker: Mahrez scores for Leicester. Chelsea might now be out of reach but top four?\"""
Sat Mar 18 15:57:06," SMH https:\\/\\/t.co\\/H4XSvZtvNh\"""
Sat Mar 18 15:57:07, Beginning of the end
Sat Mar 18 15:57:07," RT @yooku1192: All roads lead to UG campus with @Citi973 broadcasting LIVE. Join us with a chilled bottle of AlomoBitters\\u2026 \\n#STKCHE\\n#AlomoO\\u2026\"""
Sat Mar 18 15:57:07, RT @efcliveupdates: Stoke v Chelsea
Sat Mar 18 15:57:07," leak https:\\/\\/t.co\\/qTiBMmDWUG\"""
Sat Mar 18 15:57:07," RT @ItsMrBlueGuy: Chelsea controlled the first 35mins but not many chances in open play. We only look threatening in set pieces. Clearly mi\\u2026\"""
Sat Mar 18 15:57:07," #STKCHE juiz\\u00e3o deu a famosa compensada do gol anulado. Essa foi t\\u00e3o cl\\u00e1ssica que devia ir pra um livro did\\u00e1tico #premierleaguesonaespn\"""
Sat Mar 18 15:57:08," RT @ChelseaFC: It's matchday! Stoke City v Chelsea. \\u26bd\\ufe0f https:\\/\\/t.co\\/0hDBco7fVO\"""
Sat Mar 18 15:57:08," \\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39\\ud83d\\ude39 is it rainy as well ?? https:\\/\\/t.co\\/hs89YuPZCu\"""
Sat Mar 18 15:57:08," RT @8Fact_Footballl: Arsenal\\u2019s last three Premier League away games:\\n\\nWest Brom 3-1 Arsenal\\nLiverpool 3-1 Arsenal\\nChelsea 3-1 Arsenal\\n\\nS\\u2026 \"""
Sat Mar 18 15:57:09," RT @muyiwhar: Left https:\\/\\/t.co\\/JkGSMvuR8L\"""
Sat Mar 18 15:57:09," RT @90min_Football: Half Time:\\n\\nPalace 0-0 Watford\\nEverton 1-0 Hull\\nStoke 1-1 Chelsea\\nSunderland 0-0 Burnley\\nWest Ham 1-3 Leicester\"""
Sat Mar 18 15:57:10," Cmon https:\\/\\/t.co\\/kLJQC6uYTv\"""
Sat Mar 18 15:57:10," @IondonsGreatest mou like situation at chelsea last year\"""
Sat Mar 18 15:57:11," stoke will make dis game difficult for Chelsea\"""
Sat Mar 18 15:57:11," RT @chelseafc_indo: Babak pertama: Stoke 1-1 Chelsea. Gol dari tendangan bebas @willianborges88 disamakan oleh eksekusi penalti Walters\\u2026 \"""
Sat Mar 18 15:57:11, RT @SC_ESPN: \\u00a1Final del PT! Stoke City iguala 1-1 ante Chelsea por la Premier
Sat Mar 18 15:57:11, Cahill
Sat Mar 18 15:57:11," Dubious decisions by the ref #STKCHE\"""
Sat Mar 18 15:57:12," Stoke City - Chelsea FC\\nTercih: Chelsea FC 2.01\\nBirmingham Newcastle\\nTercih: Newcastle  2.43\\n45.00\\nTRYOlas\\u0131 Kazan\\u00e7: 219.79TRY\"""
Sat Mar 18 15:57:12," Cahill was just reckless reason why Conte is looking for Koulibaly or Bonucci #STKCHE\"""
Sat Mar 18 15:57:12," RT @CitiSportsGHA: HT #GHPL\\nDwarfs 2-0 Aduana\\nMedeama 0-0 Olympics\\nE. Sharks 1-0 Ashgold\\nBolgaA\\/S 0-0 BechemUtd\\nWAFA 0-0 Chelsea\\nLiberty 0-\\u2026\"""
Sat Mar 18 15:57:12," Betvictor New Custom\\nBet \\u00a310 Get 60\\n#football #golf @Arsenal #Spurs\\n#Chelsea #CFC \\nEntry 25k Golden Goal  Claim-&gt;\\u2026 https:\\/\\/t.co\\/DUpxIyUvOE\"""
Sat Mar 18 15:57:12," RT @USERNAMEINVALlD: Mad that Chelsea fans can't see obvious flaws in the game of players they watch every week because they only pay at\\u2026 \"""
Sat Mar 18 15:57:12," Stoke City - https:\\/\\/t.co\\/zMk29D306p https:\\/\\/t.co\\/t6h6fzF7VN https:\\/\\/t.co\\/jhdDaoz6C6\"""
Sat Mar 18 15:57:13," @Coral 3-1 to Chelsea Kante and Stoke own goal\"""
Sat Mar 18 15:57:13, Chelsea Clinton to Publish Children's Book
Sat Mar 18 15:57:13," RT @ChelseaFC: Stoke 0 Chelsea 1 #STKCHE https:\\/\\/t.co\\/8j966yGxtr\"""
Sat Mar 18 15:57:13, LIVE MATCH: Berbalas Gol
Sat Mar 18 15:57:13," RT @VintageUtd: Grant who turned into prime Buffon when he played at Old Trafford has just gifted a goal to Chelsea. Bound to happen.\"""
Sat Mar 18 15:57:13, @JoeFreedomLove @theblaze Go away
Sat Mar 18 15:57:14," RT @Chelsea_HQ: HT - Stoke 1-1 #Chelsea | A scrappy game with more stoppages than chances.\"""
Sat Mar 18 15:57:14," RT @WarikoiErnest: @bekimwamburi @chelseafc @kakazema @radiocitizenfm @stokecity Chelsea leo n leo #karakanayasoka\"""
Sat Mar 18 15:57:14," RT @ChelseaFC: Half-time: Stoke 1-1 Chelsea. @willianborges88's excellent free-kick cancelled out by a Walters penalty. #STKCHE https:\\/\\/t.c\\u2026\"""
Sat Mar 18 15:57:14," RT @ChelseaFC: We're 30 mins away from kick-off! Here's a look at today's line-up... #STKCHE https:\\/\\/t.co\\/a3k6P9qRt4\"""
Sat Mar 18 15:57:15," RT @See_Em_Play: hillary clinton doesn't love you\\nneither does jk rowling\\nchelsea clinton would sell your head for a kale smoothie\\nplease s\\u2026\"""
Sat Mar 18 15:57:15," The problem w\\/ Costa is when he gets angry he doesn't channel it the right way. More chance of a sending off than a goal today. #STKCHE\"""
Sat Mar 18 15:57:15," RT @ChelseaFC: Stoke 0 Chelsea 1 #STKCHE https:\\/\\/t.co\\/8j966yGxtr\"""
Sat Mar 18 15:57:15," RT @AnyedaNebat: Wa lugari mkuyu #karakanayasoka naitakia chelsea ushindi @radiocitizenfm @bekimwamburi @icia_jacob @kakazema\"""
Sat Mar 18 15:57:16," RT @guardian_sport: Half-time: C Palace 0-0 Watford; Everton 1-0 Hull; Stoke 1-1 Chelsea; Sunderland 0-0 Burnley; West Ham 1-3 Leicester ht\\u2026\"""
Sat Mar 18 15:57:16, Chelsea Clinton Wrote A Children\\u2019s Book
Sat Mar 18 15:57:16, RT @ChelseaGIFs: As Stoke City were set up to defend a cross from a direct free kick
Sat Mar 18 15:57:17," @BBCSport Of course Stoke's equaliser was deserved. Chelsea haven't had many chances to and just scored after a mistake. #bbcfootball\"""
Sat Mar 18 15:57:17," RT @fc1naija: HT Update \\nPalace 0 - 0 Watford\\nEverton 1 - 0 Hull \\nStoke City 1 - 1 Chelsea\\nSunderland 0 - 0 Burnley\\nWest Ham United 1 - 3 L\\u2026\"""
Sat Mar 18 15:57:17, RT @Bolanet: https:\\/\\/t.co\\/1sJc8pu6rj - Head-to-head: Stoke City vs Chelsea
Sat Mar 18 15:57:17," I knew there was a reason that I've never used #boycottexpedia ! https:\\/\\/t.co\\/NLjhErKkcn\"""
Sat Mar 18 15:57:17, Premier League AT HALF: Foxes flying
Sat Mar 18 15:57:17," RT @KFILE: why?\\nhttps:\\/\\/t.co\\/Wf3HEFbznB https:\\/\\/t.co\\/I6Xk6QhYUL\"""
Sat Mar 18 15:57:17, OMG
Sat Mar 18 15:57:17," Wottice with Chelsea??!! https:\\/\\/t.co\\/LUE8qVFxl3\"""
Sat Mar 18 15:57:17," RT @BankyW: It's time to rebuild. Wenger shld bow out and stop ruining what's left of his legacy. Let's start again &amp; focus on the prem lik\\u2026\"""
Sat Mar 18 15:57:17," RT @ESPNFC: #PL HT scores:\\n\\nStoke 1-1 Chelsea\\nWest Ham 1-3 Leicester\\nEverton 1-0 Hull\\nCrystal Palace 0-0 Watford\\nSunderland 0-0\\u2026 \"""
Sat Mar 18 15:57:18," RT @FOXSoccer: #EPL HT scores:\\n\\nSunderland 0-0 Burnley\\nStoke City 1-1 Chelsea\\nCrystal Palace 0-0 Watford\\nEverton 1-0 Hull City\\nWes\\u2026 \"""
Sat Mar 18 15:57:18," RT @LondonGoona: United and Chelsea got big name Managers without CL football cos they have very ambitious owner(s). We don't.\"""
Sat Mar 18 15:57:18," RT @ChelseaFC_es: \\u00a1\\u00a1VAMOS CHELSEA!!\"""
