Date.Created,Text
Sun Apr 02 12:30:39,"RT @Boro: We are underway at the Liberty! \\n\\nCOME ON #BORO!!! #UTB\"""
Sun Apr 02 12:30:39,"KICK-OFF \\n\\n\\u26aa\\ufe0f or \\ud83d\\udd34 in the battle down the bottom? Join us over at Matchday Live: https:\\/\\/t.co\\/SPb6NQZlFw #SWAMID https:\\/\\/t.co\\/XfzvHFARmS\"""
Sun Apr 02 12:30:39,"C'MON BORO!!!!\"""
Sun Apr 02 12:30:40,"RT @SwansOfficial: We are under way at the Liberty. Here we go! \\ud83d\\ude4c https:\\/\\/t.co\\/Wqu8zXeZHw\"""
Sun Apr 02 12:30:40,"RT @SwansOfficial: We are under way at the Liberty. Here we go! \\ud83d\\ude4c https:\\/\\/t.co\\/Wqu8zXeZHw\"""
Sun Apr 02 12:30:41,"Do a miracle @Boro\"""
Sun Apr 02 12:30:42,They're now showing the 'highlights' of when we played Boro away this season. God we were so
Sun Apr 02 12:30:42,"#Swans...\\n#Boro... \\nWho are you backing?\\nSky Sports 1 now!\\nhttps:\\/\\/t.co\\/P4P8nJdZwI https:\\/\\/t.co\\/Re5WkjmF0g\"""
Sun Apr 02 12:30:42,"KICK OFF #SWAMID\"""
Sun Apr 02 12:30:43,"Come on Boro get those vital 3 points\"""
Sun Apr 02 12:30:44,"\\u0628\\u062f\\u0627\\u064a\\u0629 \\u0627\\u0644\\u0645\\u0628\\u0627\\u0631\\u0627\\u0629 ..\\u0643\\u0645\\u0648\\u0648\\u0648\\u0648\\u0648\\u0648\\u0646 \\u0628\\u0648\\u0631\\u0648 \\u2764\\ud83d\\udcaa\\ud83d\\udcaa \\n#\\u0633\\u0648\\u0627\\u0646\\u0632\\u064a_\\u0645\\u064a\\u062f\\u0644\\u0632\\u0628\\u0631\\u0647 \\n#SWAMID \\nhttps:\\/\\/t.co\\/Vzg4mR9JZg\"""
