Date.Created,Text
Sun Mar 19 14:11:50,"#COYS\"""
Sun Mar 19 14:11:50, @FootballRamble Giggs and Sherwood
Sun Mar 19 14:11:50," RT @JOHNDOCKING: saintsfc https:\\/\\/t.co\\/ObleZYk5Zv\"""
Sun Mar 19 14:11:50," #COYS \\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\"""
Sun Mar 19 14:11:50," #COYS\"""
Sun Mar 19 14:11:52," RT @angioVIP: \\u0e02\\u0e2d 3 \\u0e41\\u0e15\\u0e49\\u0e21 \\u0e44\\u0e21\\u0e48\\u0e21\\u0e32\\u0e01 \\u0e42\\u0e2d\\u0e1b\\u0e1b\\u0e49\\u0e32\\u0e08\\u0e07\\u0e2d\\u0e07\\u0e04\\u0e4c\\u0e25\\u0e07 \\u0e42\\u0e2d\\u0e1b\\u0e1b\\u0e49\\u0e32\\u0e08\\u0e07\\u0e2d\\u0e07\\u0e04\\u0e4c\\u0e25\\u0e07 WHL \\u0e08\\u0e07\\u0e1a\\u0e23\\u0e34\\u0e2a\\u0e38\\u0e17\\u0e18\\u0e34\\u0e4c\\u0e15\\u0e48\\u0e2d\\u0e44\\u0e1b.....\\n\\n \\u0e40\\u0e2a\\u0e35\\u0e22\\u0e43\\u0e08\\u0e40\\u0e21\\u0e37\\u0e48\\u0e2d\\u0e04\\u0e37\\u0e19\\u0e25\\u0e39\\u0e01\\u0e32\\u0e01\\u0e39\\u0e22\\u0e34\\u0e07\\u0e41\\u0e0b\\u0e07\\u0e40\\u0e04\\u0e19\\u0e44\\u0e1b\\u0e25\\u0e30 T^T\\u2026 \"""
Sun Mar 19 14:11:53, RT @OfficialFPL: Owned by just 5.5% of #FPL managers
Sun Mar 19 14:11:53," Watching the Tottenham Hotspur vs Southampton match\"""
Sun Mar 19 14:11:54," \\u4eca\\u65e5\\u306f\\u30bb\\u30a4\\u30f3\\u30c4\\u3068\\u306e\\u8a66\\u5408\\u306d\\u3002COYS !!\"""
Sun Mar 19 14:11:54," RT @thespursweb: COYS!!!!!!!!!!!! #THFC #COYS https:\\/\\/t.co\\/IlZqR28wSi\"""
Sun Mar 19 14:11:55," A Spurs upset would be nice! #TOTSOU #FPL\"""
Sun Mar 19 14:11:55," He's made some impact..\\n\\nGabbiadini can become only the 3rd player to score in his first 4 #PL games\\n\\n#TOTSOU \\ud83d\\udc49\\u2026 https:\\/\\/t.co\\/gQuGMQDWRj\"""
Sun Mar 19 14:11:56," RT @SpursOfficial: Mauricio: \\\""The good thing is that Son can play in various positions up front"
Sun Mar 19 14:11:56," #COYS\"""
Sun Mar 19 14:11:56," @johnP_hayes #COYS\"""
Sun Mar 19 14:11:57," #COYS\"""
Sun Mar 19 14:11:58," RT @SpursOfficial: \\ud83d\\udcaa\\ud83c\\udffc @JanVertonghen leads the way as today's starters make their way out for the warm-up... #COYS https:\\/\\/t.co\\/20FxhHMn9v\"""
Sun Mar 19 14:11:58," #COYS\"""
Sun Mar 19 14:11:59," RT @SouthamptonFC: 5\\ufe0f\\u20e3 minutes to go! \\ud83d\\udcaa #saintsfc https:\\/\\/t.co\\/Gj5R8oychK\"""
Sun Mar 19 14:12:00," #coys\"""
Sun Mar 19 14:12:00," Air France leads Spurs out of the tunnel and the troops follow the general #COYS #THFC #TOTSOU\"""
Sun Mar 19 14:12:00," RT @SpursOfficial: \\ud83d\\ude4c Hugoooooooooooooooooooo \\ud83d\\ude4c #COYS https:\\/\\/t.co\\/lG4DjTdl4n\"""
Sun Mar 19 14:12:00," Beat the Saints boys \\n#coys #totsou\"""
Sun Mar 19 14:12:01," COYS\"""
Sun Mar 19 14:12:01," #COYS\"""
Sun Mar 19 14:12:02," COYS Spurs. #COYS\"""
Sun Mar 19 14:12:02," RT @SpursOfficial: Mauricio: \\\""The good thing is that Son can play in various positions up front"
Sun Mar 19 14:12:02, RT @SpursOfficial: #THFC: Lloris (C)
Sun Mar 19 14:12:02," 17:15 [English Premier League] Tottenham Hotspur - Southampton Live Free HD Acestream \\u0130P-TV https:\\/\\/t.co\\/CR5P9z2GFx https:\\/\\/t.co\\/VdxDQKenhn\"""
Sun Mar 19 14:12:02, RT @SpursOfficial: Great to see 1967 FA Cup winners Joe Kinnear
Sun Mar 19 14:12:05, RT @SpursOfficial: Subs: Vorm
Sun Mar 19 14:12:05," RT @Spurs_THA: \\u0e21\\u0e35\\u0e41\\u0e15\\u0e48\\u0e04\\u0e19\\u0e2b\\u0e25\\u0e48\\u0e2d\\u0e27\\u0e38\\u0e49\\u0e22 ... #COYS https:\\/\\/t.co\\/JHxfwflUvc\"""
Sun Mar 19 14:12:06," DUEL OF THE FATES - #COYS\"""
Sun Mar 19 14:12:06, I say it every time
Sun Mar 19 14:12:07, RT @OfficialFPL: Owned by just 5.5% of #FPL managers
Sun Mar 19 14:12:07," If you ain't lily white you ain't right #LilyWhitePower #COYS https:\\/\\/t.co\\/cZN8E3eCqG\"""
Sun Mar 19 14:12:08," \\u52dd\\u3063\\u3066\\u304f\\u308c\\uff01#COYS\"""
Sun Mar 19 14:12:08," #COYS\"""
Sun Mar 19 14:12:08," RT @SpursOfficial: Son: \\\""It's not important which position I play"
Sun Mar 19 14:12:09, RT @premierleague: TEAM NEWS Spurs bring in Son Heung-min for the injured Harry Kane
Sun Mar 19 14:12:09," RT @HKane: Big game at the lane today! Gutted not to be playing but good luck to the lads! #coys https:\\/\\/t.co\\/GhDEEaLJ4s\"""
Sun Mar 19 14:12:09," \\u4e21\\u30c1\\u30fc\\u30e0\\u3068\\u3082\\u30a2\\u30f3\\u30c0\\u30fc\\u30a2\\u30fc\\u30de\\u30fc #TOTSOU #\\u30a2\\u30f3\\u30c0\\u30fc\\u30a2\\u30fc\\u30de\\u30fc \\u3068\\u8a00\\u3048\\u3070 #ardija\"""
Sun Mar 19 14:12:10," #COYS\"""
Sun Mar 19 14:12:10, Don't let them pinch our song today #saintsfc fans
Sun Mar 19 14:12:10," Let's Do This! #ComeOnYouSpurs #COYS #PochsBlueAndWhiteArmy\"""
Sun Mar 19 14:12:10, Good afternoon and welcome to White Hart Lane
Sun Mar 19 14:12:10, RT @SpursOfficial: #THFC: Lloris (C)
Sun Mar 19 14:12:11," RT @Randomitable: Come on you Spurs!\\n#TTID #COYS https:\\/\\/t.co\\/G1pBwxZx39\"""
Sun Mar 19 14:12:11," RT @AlderweireldTob: Big game at the Lane today #COYS https:\\/\\/t.co\\/ZIPveyrmCV\"""
Sun Mar 19 14:12:11, RT @SpursOfficial: #THFC: Lloris (C)
Sun Mar 19 14:12:12," RT @thespursweb: COYS!!!!!!!!!!!! #THFC #COYS https:\\/\\/t.co\\/IlZqR28wSi\"""
Sun Mar 19 14:12:12," Dele will bring this home for us today #COYS the added responsibility while Kane is out is something that will shape Alli\"""
Sun Mar 19 14:12:12," @SaintCirce Home win I reckon!\\ud83d\\ude03 #COYS #TTID\"""
Sun Mar 19 14:12:12," RT @HKane: Big game at the lane today! Gutted not to be playing but good luck to the lads! #coys https:\\/\\/t.co\\/GhDEEaLJ4s\"""
Sun Mar 19 14:12:13," RT @VictorWanyama: Match Day #COYS https:\\/\\/t.co\\/EnbHihG8U8\"""
Sun Mar 19 14:12:13," 5\\ufe0f\\u20e3 minutes to go! \\ud83d\\udcaa #saintsfc https:\\/\\/t.co\\/kW8WMcOXVl\"""
Sun Mar 19 14:12:14," #COYS \\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\"""
Sun Mar 19 14:12:15," RT @5liveSport: He's made some impact..\\n\\nGabbiadini can become only the 3rd player to score in his first 4 #PL games\\n\\n#TOTSOU \\ud83d\\udc49\\u2026 \"""
Sun Mar 19 14:12:16," RT @thespursweb: COYS!!!!!!!!!!!! #THFC #COYS https:\\/\\/t.co\\/IlZqR28wSi\"""
Sun Mar 19 14:12:16," COYS\"""
Sun Mar 19 14:12:16," #COYS\"""
Sun Mar 19 14:12:17," Coys\"""
Sun Mar 19 14:12:18," #COYS\"""
Sun Mar 19 14:12:18," #COYS\"""
Sun Mar 19 14:12:19, Does anyone has a good stream for Spurs Sotton? I'm not in home
Sun Mar 19 14:12:19," Fancy sonny to notch today! Come on @SpursOfficial #COYS\"""
Sun Mar 19 14:12:19," Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:20, RT @SportdecApp: Follow all the latest goals
Sun Mar 19 14:12:21," Is this not a bit of a kit clash? #totsou\"""
Sun Mar 19 14:12:21," Come On You Spurs. Must win game #COYS\"""
Sun Mar 19 14:12:21, Son masterclass today
Sun Mar 19 14:12:22," Tottenham Hotspur - Southampton Live Free HD Acestream \\u0130P-TV https:\\/\\/t.co\\/CR5P9z2GFx https:\\/\\/t.co\\/F9t0N9geUu\"""
Sun Mar 19 14:12:23," RT @VictorWanyama: Match Day #COYS https:\\/\\/t.co\\/EnbHihG8U8\"""
Sun Mar 19 14:12:23," #COYS\"""
Sun Mar 19 14:12:24, Jetzt #totsou. Mal sehen
Sun Mar 19 14:12:23," Hugo Lloris vs @FraserForster who comes out on top at White Hart Lane? #TOTSOU #Spurs #Saints #Lloris #Forster\\u2026 https:\\/\\/t.co\\/WZXxCgbDle\"""
Sun Mar 19 14:12:24," Come on Spurs win another one at White Hall Lane. #COYS #totsou #EPL https:\\/\\/t.co\\/C2PXzEI1TQ\"""
Sun Mar 19 14:12:24, RT @SportdecApp: Follow all the latest goals
Sun Mar 19 14:12:25," #COYS\"""
Sun Mar 19 14:12:25," @CastleRockBrit @ernesteu @spursNutN17 @Suecook01 @Sarah_Zundel @SweetFA__ COME ON YOU SPURS #COYS\"""
Sun Mar 19 14:12:26," Come on then lads! \\ud83d\\udd34\\u26aa\\ufe0f\\ud83d\\udd34\\u26aa\\ufe0f #saintsfc\"""
Sun Mar 19 14:12:26," Suddenly feel nervous #coys prove me wrong @SpursOfficial\"""
Sun Mar 19 14:12:27," #TOTSOU COME ON YOU #SPURS !! On doit absolument le gagner ce match!! COME ON\"""
Sun Mar 19 14:12:28," COYS\\uff01\\u6238\\u7530\\u3055\\u3093\\u5143\\u6c17\\u306a\\u8fd4\\u4e8b\\uff01\\u7b11 \\u30b9\\u30d1\\u30fc\\u30ba\\u3060\\u304b\\u3089\\u697d\\u3057\\u307f\\u306a\\u306e\\u304b\\u306a\\uff1f #COYS\"""
Sun Mar 19 14:12:28, RT @SportdecApp: Follow all the latest goals
Sun Mar 19 14:12:29," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:29," RT @SouthamptonFC: 5\\ufe0f\\u20e3 minutes to go! \\ud83d\\udcaa #saintsfc https:\\/\\/t.co\\/Gj5R8oychK\"""
Sun Mar 19 14:12:29," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:30," RT @SpursOfficial: Recognising not all disabilities are visible with signage at White Hart Lane today. @lpftweets @CrohnsColitisUK\\u2026 \"""
Sun Mar 19 14:12:30," Please don't bottle it please please please @SpursOfficial 3 points and nothing less \\ud83d\\ude4f\\ud83c\\udffc #COYS\"""
Sun Mar 19 14:12:30," We've got Alli #COYS\"""
Sun Mar 19 14:12:30," Come on you Spurs! #COYS\"""
Sun Mar 19 14:12:31," #COYS\"""
Sun Mar 19 14:12:31," #COYS\"""
Sun Mar 19 14:12:31," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:32," RT @HKane: Big game at the lane today! Gutted not to be playing but good luck to the lads! #coys https:\\/\\/t.co\\/GhDEEaLJ4s\"""
Sun Mar 19 14:12:32," Time for super Sunday now with two matches watch should produce quality #THFC #saintsfc #MCFC #Liverpool\"""
Sun Mar 19 14:12:32," @Dave_Schwartz Go Tottenham! Kick off now! https:\\/\\/t.co\\/S0yXEv2NKf\"""
Sun Mar 19 14:12:33," RT @SouthamptonFC: 5\\ufe0f\\u20e3 minutes to go! \\ud83d\\udcaa #saintsfc https:\\/\\/t.co\\/Gj5R8oychK\"""
Sun Mar 19 14:12:32," COYS https:\\/\\/t.co\\/XxTVs1KYPv\"""
Sun Mar 19 14:12:33," #COYS\"""
Sun Mar 19 14:12:33, RT @SpursOfficial: #THFC: Lloris (C)
Sun Mar 19 14:12:33," RT @AlderweireldTob: Big game at the Lane today #COYS https:\\/\\/t.co\\/ZIPveyrmCV\"""
Sun Mar 19 14:12:34," #COYS\"""
Sun Mar 19 14:12:34," #COYS\"""
Sun Mar 19 14:12:35," The little girl with Lloris is so cute omg. Her hair and the little blue bow! #thfc #TOTSOU\"""
Sun Mar 19 14:12:34," Come on #saintsfc \\ud83d\\udc4a\\ud83c\\udffb\\ud83d\\udc4d\\ud83c\\udffb #totsou https:\\/\\/t.co\\/KrkG7W9ADV\"""
Sun Mar 19 14:12:35," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:35," COOOOMME ONNNNNNNN YOOOOUUUUU SPUUUUURRRRRSSSS #COYS #THFC #TTWD\"""
Sun Mar 19 14:12:35," COYS\"""
Sun Mar 19 14:12:35," First time I've got myself a day pass for Sky Sports on @NOWTV. Very excited! #COYS https:\\/\\/t.co\\/bVXYCIJQzA\"""
Sun Mar 19 14:12:36, RT @SportdecApp: Follow all the latest goals
Sun Mar 19 14:12:37," Tough game today #COYS\"""
Sun Mar 19 14:12:37," RT @SpursOfficial: Leading the line today... \\u2600\\ufe0f #COYS https:\\/\\/t.co\\/Y7V8rQWo6e\"""
Sun Mar 19 14:12:37," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:38," If we can win today it would be a huge 3 points. Need a big performance from Toby today to keep the back door shut #COYS\"""
Sun Mar 19 14:12:38," Onomah's got his positioning all wrong in the tunnel \\ud83d\\ude02 #COYS #TOTsou\"""
Sun Mar 19 14:12:38," Cmon Tottenham!!!#COYS\"""
Sun Mar 19 14:12:38," RT @HKane: Big game at the lane today! Gutted not to be playing but good luck to the lads! #coys https:\\/\\/t.co\\/GhDEEaLJ4s\"""
Sun Mar 19 14:12:38," Going for 1-1 coyrs #saintsfc\"""
Sun Mar 19 14:12:39, RT @RickSpur: One of 5 games left to go at our traditional White Hart Lane
Sun Mar 19 14:12:39, RT @OfficialFPL: Owned by just 5.5% of #FPL managers
Sun Mar 19 14:12:39," COYS \\u2764\\u2764\\u2764\"""
Sun Mar 19 14:12:40," Anyway. Coys\"""
Sun Mar 19 14:12:40, Cristiano Ronaldo Vs Turkey
Sun Mar 19 14:12:40," COYS\"""
Sun Mar 19 14:12:40," @SpursOfficial @premierleague @SouthamptonFC The teams are out here at #WhiteHartLane #totsou #THFC https:\\/\\/t.co\\/q1gBJKSzCQ\"""
Sun Mar 19 14:12:41, Team: (C)
Sun Mar 19 14:12:42," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:42," #COYS\"""
Sun Mar 19 14:12:42," COYS \\ud83d\\udc99\"""
Sun Mar 19 14:12:41," Se viene! #TOTSOU #PL https:\\/\\/t.co\\/CDcBbm69Mp\"""
Sun Mar 19 14:12:43," RT @chrisrichatkins: Maybe last game at the lane with the girls COYS https:\\/\\/t.co\\/s971hiCCC4\"""
Sun Mar 19 14:12:43," Bloody Mary time #COYS https:\\/\\/t.co\\/SVJyprt9YV\"""
Sun Mar 19 14:12:43," Showtime #coys https:\\/\\/t.co\\/lKWEx1C6Br\"""
Sun Mar 19 14:12:44," Keep talking us down. Its fine. It'll be even sweeter as we continue to prove you wrong. \\ud83d\\udcaa #saintsfc\"""
Sun Mar 19 14:12:44," #COYS\"""
Sun Mar 19 14:12:45," COYS!!!!!!!!\"""
Sun Mar 19 14:12:45," C'mon You Spurs!! #COYS\"""
Sun Mar 19 14:12:45," #COYS \\ud83d\\udcaa\\ud83c\\udffb\\ud83d\\udc99 https:\\/\\/t.co\\/EOtB4MTUMs\"""
Sun Mar 19 14:12:45," RT @SpursOfficial: Great spring from @kylewalker2 in the warm-up. #COYS https:\\/\\/t.co\\/7YY94vYf7i\"""
Sun Mar 19 14:12:45," #COYS https:\\/\\/t.co\\/aoe2xJ2QQp\"""
Sun Mar 19 14:12:46," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:46," Great seats. #COYS https:\\/\\/t.co\\/0wSnQqt5SX\"""
Sun Mar 19 14:12:46," COYS.\"""
Sun Mar 19 14:12:46," Come on Saints!\\nLet's do these north London yobbos!  \\n#saintsfc\"""
Sun Mar 19 14:12:47," #COYS \\ud83d\\udd4a\"""
Sun Mar 19 14:12:47," Tottenham Hotspur vs Southampton\\n\\n*Compatible on iOS\\/Android\\/PC\\/XBOX\\/PS4\\/SmartTV*\\n\\nhttps:\\/\\/t.co\\/fvRRphXTUG\\n\\nRT &amp; Share for fans needing one\"""
Sun Mar 19 14:12:48," Cos we know. https:\\/\\/t.co\\/XMDhc2RdN8\"""
Sun Mar 19 14:12:49," COME ON YOU SPURS #COYS\"""
Sun Mar 19 14:12:49," \\u0648\\u0648\\u0643\\u0631 \\u0648\\u062f\\u064a\\u0641\\u064a\\u0632 \\u062d\\u0628\\u0627\\u064a\\u0628\\u0646\\u0627 \\u0627\\u0644\\u0644\\u064a \\u0647\\u064a\\u062c\\u064a\\u0628\\u0648\\u0644\\u0646\\u0627 \\u0643\\u0644\\u064a\\u0646 \\u0634\\u064a\\u062a \\u0648\\u0645\\u0634 \\u0645\\u0647\\u0645 \\u0623\\u064a \\u062d\\u0627\\u062c\\u0629 \\u062a\\u0627\\u0646\\u064a \\ud83d\\ude4f\\ud83d\\ude4f https:\\/\\/t.co\\/JSXu8k5ia7\"""
Sun Mar 19 14:12:49," #COYS\"""
Sun Mar 19 14:12:49," Come On You Spurs\\n\\n#COYS\"""
Sun Mar 19 14:12:49," RT @SpursOfficial: Leading the line today... \\u2600\\ufe0f #COYS https:\\/\\/t.co\\/Y7V8rQWo6e\"""
Sun Mar 19 14:12:50, #COYS Tough game this
Sun Mar 19 14:12:50," Going on the stream now. #COYS\"""
Sun Mar 19 14:12:50," Match Time ...COYS\"""
Sun Mar 19 14:12:51, C
Sun Mar 19 14:12:51," nearly game time!!\\n#COYS\"""
Sun Mar 19 14:12:51, RT @premierleague: TEAM NEWS Spurs bring in Son Heung-min for the injured Harry Kane
Sun Mar 19 14:12:51," #COYS \\u26bd\\ufe0f\"""
Sun Mar 19 14:12:51," It's game time! @Amanda1408 #coyr #wemarchon #sfc #saintsfc #showyourstripes #southamptonfc https:\\/\\/t.co\\/ttEgtEE02K\"""
Sun Mar 19 14:12:53," Let's do this boys  #COYS #tottenham #Spurs\"""
Sun Mar 19 14:12:54, RT @premierleague: TEAM NEWS Spurs bring in Son Heung-min for the injured Harry Kane
Sun Mar 19 14:12:54, RT @premierleague: TEAM NEWS Spurs bring in Son Heung-min for the injured Harry Kane
Sun Mar 19 14:12:55," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:55," RT @SpursOfficial: Mauricio: \\\""The good thing is that Son can play in various positions up front"
Sun Mar 19 14:12:56," RT @SpursOfficial: Here come the teams! #COYS https:\\/\\/t.co\\/dMlW5aus5c\"""
Sun Mar 19 14:12:56," Come on saints 3 points please #saintsfc\"""
Sun Mar 19 14:12:56," \\uc120\\uc218 \\uc785\\uc7a5 #totsou #\\ud1a0\\ud2b8\\ub118 #\\uc190\\ud765\\ubbfc https:\\/\\/t.co\\/yrHzXHXfIq\"""
Sun Mar 19 14:12:56," RT @SpursOfficial: Mauricio: \\\""The good thing is that Son can play in various positions up front"
Sun Mar 19 14:12:55," Tottenham fielding  an under 8's side today....!! #totsou @SkySports https:\\/\\/t.co\\/571gUf1G9b\"""
Sun Mar 19 14:12:56," RT @TalkingTHFC: Come on you Spurs! #COYS\"""
Sun Mar 19 14:12:57," RT @SportDictatorHQ: Tottenham Hotspur vs Southampton\\n\\n*Compatible on iOS\\/Android\\/PC\\/XBOX\\/PS4\\/SmartTV*\\n\\nhttps:\\/\\/t.co\\/fvRRphXTUG\\n\\nRT &amp; Share\\u2026\"""
Sun Mar 19 14:12:57," COYS\\ud83d\\udc99\\ud83d\\udc99\"""
Sun Mar 19 14:12:58," RT @SpursOfficial: Great spring from @kylewalker2 in the warm-up. #COYS https:\\/\\/t.co\\/7YY94vYf7i\"""
Sun Mar 19 14:12:58," Lovely day for it ... #coys v Southampton @ White Hart Lane https:\\/\\/t.co\\/xXXxtSl4dO\"""
Sun Mar 19 14:12:58," Coys coys coys\"""
Sun Mar 19 14:12:59," #COYS \\ud83d\\udc99\\ud83d\\udc99\"""
Sun Mar 19 14:12:59," COYS\"""
Sun Mar 19 14:13:01," \\u0647\\u0627\\u062a\\u0631\\u064a\\u0643 \\u063a\\u0627\\u0628\\u064a\\u0627\\u062f\\u064a\\u0646\\u064a \\u0645\\u0637\\u0644\\u0628 #WeMarchOn #saintsfc\"""
Sun Mar 19 14:13:01," #COYS\"""
Sun Mar 19 14:13:01," Equipes em campo!!!! COME ON YOU SPUUUUUUUURS #coys #THFC #inglesnaESPN\"""
Sun Mar 19 14:13:02," #COYS\"""
