Date.Created,Text
Sat Apr 01 13:59:17,".@chelsea @WatfordFC @WestHamUtd DON'T FUCK UP.\"""
Sat Apr 01 13:59:17,"RT @Tweed_Barnesy: The players @WatfordFC @SunderlandAFC walk out to the Z Cars theme. I'd have thought Casualty more appropriate ....\\u2026 \"""
Sat Apr 01 13:59:21,"RT @MixahFanimo: Lol https:\\/\\/t.co\\/QLokNmT79c\"""
Sat Apr 01 13:59:23,"RT @Boro: @thepinkponce @SunderlandAFC @Bradleysfight We've already been in contact with Bradley's family and we're hoping th\\u2026 \"""
Sat Apr 01 13:59:32,"Made it! @watfordfc https:\\/\\/t.co\\/8WSOpRADdT\"""
Sat Apr 01 13:59:43,"Come on Watfordfc\\u2764\\ufe0f\\ud83d\\ude4f\\ud83c\\udffd\"""
Sat Apr 01 13:59:55,"RT @SunderlandAFC: \\ud83d\\udcdd David Moyes names his side ahead of this afternoon's game v @WatfordFC https:\\/\\/t.co\\/5KzfpmIDco\"""
Sat Apr 01 13:59:57,"When you queue outside @WatfordFC and hear kick off - are we already in the @EFL \\ud83d\\ude48\\ud83d\\ude31 #whatsthecraic #queuelife\"""
Sat Apr 01 13:59:59,RT @AdamBelfield: 7 minutes to kick off @WatfordFC with only 4 turnstiles and 4 people searching
Sat Apr 01 14:00:00,"RT @SunderlandAFC: \\ud83d\\ude4c The teams are out and we're minutes away from kick off at Vicarage Road https:\\/\\/t.co\\/GTp2NOVWnE\"""
Sat Apr 01 14:00:03,"KICK-OFF: The Vic is bathed in glorious spring sunshine as #watfordfc look for an equally bright display and return to winning ways\"""
Sat Apr 01 14:00:03,"1: And we're off! Sunderland get the game underway. #watfordfc shooting towards Vicarage Road end.\\n\\nMatchday Live:\\u2026 https:\\/\\/t.co\\/0bK1DqcKOQ\"""
Sat Apr 01 14:00:06,RT @WatfordFC: #watfordfc XI v @SunderlandAFC: Gomes (GK) (c); Cathcart
Sat Apr 01 14:00:10,"Top class from @WatfordFC the queues at the away are incompetent! #twoturnstiles \\ud83d\\udd14\\ud83d\\udd1a\"""
Sat Apr 01 14:00:12,"#EnglandPremierLeague Watford v Sunderland https:\\/\\/t.co\\/Kvg7ijkokS #Soccer #HawayTheLads #RedAndWhiteArmy #SAFC #watfordfc\"""
Sat Apr 01 14:00:14,"And we're off for #watfordfc v #safc\"""
Sat Apr 01 14:00:19,"Watford 0 - 0 Sunderland \\/\\/ Comenz\\u00f3 del partido #WATSUN https:\\/\\/t.co\\/84z40Vs75i\"""
Sat Apr 01 14:00:20,"Come on #WatfordFC! We need to beat this Sunderland team. We are at home. Full-tilt! Tempo must be OURS! You 'Orns! #ThreePoints\"""
Sat Apr 01 14:00:21,#Soccer #InPlay #WatfordFC vs #SunderlandAFC join the game. Place your #Bitcoin
Sat Apr 01 14:00:23,"KICK OFF Watford v Sunderland https:\\/\\/t.co\\/4sOUlL1Dk6 #WATSUN #WatfordFC #safc #EPL\"""
Sat Apr 01 14:00:27,"\\u23f1\\u00a1ARRANCA EL PARTIDO!\\u23f1\\n\\n@WatfordFC \\ud83c\\udd9a @SunderlandAFC\\n\\ud83c\\udfc6 #PremierLeague \\n\\ud83c\\udfdf Vicarage Road\\n\\ud83d\\udec2 Lee Probert\"""
Sat Apr 01 14:07:53," @SunderlandAFC @WatfordFC @The_FSF thirty minutes and still not in.... https:\\/\\/t.co\\/6dAL0fHwKv\"""
Sat Apr 01 14:07:55," Niang and Amrabat already swapped wings here #watfordfc\"""
Sat Apr 01 14:08:01," Watford vs Sunderland #WATSUN \\n\\nLive on #futmondo web &amp; app\\n\\n#England #UK #EPL #PL #Football \\n\\nhttps:\\/\\/t.co\\/VE4diNM3Tw\"""
Sat Apr 01 14:08:13," Cheers Geoff https:\\/\\/t.co\\/eZh9TdGDYu\"""
Sat Apr 01 14:08:16, 8: Niang captalises on a loose ball and cuts inside Oviedo excellently
Sat Apr 01 14:08:23," Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #BPL #PL #football\"""
Sat Apr 01 14:08:33, RT @WatfordFC: 8: Niang captalises on a loose ball and cuts inside Oviedo excellently
Sat Apr 01 14:08:45, RT @gemstudio57: Massive 2 games win both and we are probably safe
Sat Apr 01 14:08:51, Agreed. Injuries haven't helped
Sat Apr 01 14:09:01," 9: Gomes tips Januzaj's cross-shot just wide of the #watfordfc post. Corner headed away.\\n\\nMatchday Live:\\u2026 https:\\/\\/t.co\\/cKHZ5W2MwI\"""
Sat Apr 01 14:09:06," Januzaj's cross evades everyone and Gomes has to be alert to tip it round the post. Subsequent #safc corner cleared by Okaka #watfordfc\"""
Sat Apr 01 14:09:07," Elaborate April Fool from #watfordfc who appear to be playing reasonably well.\"""
Sat Apr 01 14:09:20," 9: Januzaj draws the first save of the day as his cross eludes the #watfordfc defence and forces Gomes into action 0-0\"""
Sat Apr 01 14:09:21," #\\u0627\\u0644\\u062f\\u0648\\u0631\\u064a_\\u0627\\u0644\\u0625\\u0646\\u062c\\u0644\\u064a\\u0632\\u064a:\\n#FPL #PL\\n\\u0625\\u0646\\u0637\\u0644\\u0642\\u062a \\u0627\\u0644\\u0645\\u0648\\u0627\\u062c\\u0647\\u0627\\u062a \\u0627\\u0644\\u062a\\u0627\\u0644\\u064a\\u0629 \\u0645\\u0646 #\\u0627\\u0644\\u062f\\u0648\\u0631\\u064a_\\u0627\\u0644\\u0625\\u0646\\u062c\\u0644\\u064a\\u0632\\u064a:\\n\\u0639\\u0644\\u0649 \\u0627\\u0644\\u0633\\u0627\\u0639\\u0629 15:00\\n#BURTOT\\n#CHECRY\\n#LEISTO\\u2026 https:\\/\\/t.co\\/oTqZElpl8J\"""
Sat Apr 01 14:09:29," RT @SunderlandAFC: \\ud83d\\udcdd David Moyes names his side ahead of this afternoon's game v @WatfordFC https:\\/\\/t.co\\/5KzfpmIDco\"""
Sat Apr 01 14:09:45," 3.06pm and these are the scenes outside @WatfordFC Superb effort to bugger up getting people into a football match. https:\\/\\/t.co\\/f7P3P0zo3b\"""
Sat Apr 01 14:09:48, CHANCE: A cross-cum-shot from Jones forces Gomes into a smart stop
Sat Apr 01 14:09:50," #Feed Service 5 #WATSUN di Asiasat 5 (100.5\\u00b0E) \\u20223920 H 30000 (MPEG4\\/HD\\/$) \\u25baT 05 01 E4AEA1B16CBC4000 https:\\/\\/t.co\\/mtozHzDkJo @SiaranBolaLivee\"""
Sat Apr 01 14:10:01," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:01," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:01," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:01," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:02," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:02," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:02," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:02, RT @AdamLeventhal: At @SkySportsNewsHQ but ready for kick off at #WatfordFC - huge screen
Sat Apr 01 14:10:03," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:03," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:03," RT @SunderlandAFC: \\ud83d\\udcdd David Moyes names his side ahead of this afternoon's game v @WatfordFC https:\\/\\/t.co\\/5KzfpmIDco\"""
Sat Apr 01 14:10:03," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:03," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:03," RT @trkanturrkk: Watford v Sunderland\\n\\nLive Stream https:\\/\\/t.co\\/KFQzR0Iqm6\\n\\ns1k1g7 #watfordfc #SAFC #WATSUN #Matchday #PremierLEague #EPL #\\u2026\"""
Sat Apr 01 14:10:04," .@chelsea @WatfordFC @WestHamUtd . @ChelseaFC\"""
Sat Apr 01 14:10:05, \\ud83d\\udd34\\u26aa\\ufe0f 2
