Date.Created,Text
Sat Mar 18 15:46:54,"RT @premierleague: GOAL West Ham 1-3 Leicester (39 mins). Jamie Vardy is quickest to react in the box and smashes home Leicester's third #W\\u2026\"""
Sat Mar 18 15:46:55,Goals for everyone! @robert_huth
Sat Mar 18 15:46:56,"RT @UberFootbalI: Leicester City - No away wins all season\\n\\nCraig Shakespeare's first away game in charge - 2-0 up after 7 mins... https:\\/\\/\\u2026\"""
Sat Mar 18 15:46:57,"RT @LCFC: YASSSSSSSSSS! LOOSE BALL + JAMIE VARDY = GOALLLLLLL!\\n\\n#WhuLei https:\\/\\/t.co\\/60qH3cz4Rw\"""
Sat Mar 18 15:46:57,"It seems like Leicester City no longer owe their muthi man.  #SSFootball\"""
Sat Mar 18 15:46:57,"RT @LCFC: GOALLLLLLL! RIYAD MAHREZ GIVES #LCFC THE LEAD IN LONDON! \\n\\n#WhuLei https:\\/\\/t.co\\/LRMtd79Kw8\"""
Sat Mar 18 15:46:57,"RT @premierleague: GOAL West Ham 1-3 Leicester (39 mins). Jamie Vardy is quickest to react in the box and smashes home Leicester's third #W\\u2026\"""
Sat Mar 18 15:46:58,"RT @LCFC: There will be a minimum of four additional minutes at the end of the first half. #WhuLei\"""
Sat Mar 18 15:46:58,"RT @BBCRLSport: Robert Huth's header means Leicester City have now scored 500 goals in the Premier League.\"""
Sat Mar 18 15:46:58,"RT @OfficialFPL: Goal - VARDY\\nAssist - To be confirmed\\n\\nWest Ham 1-3 Leicester (39 mins) #FPL #WHULEI\"""
Sat Mar 18 15:46:59,"don't complain of betrayal until you're JESUS or C. RANIERI\\n\\n#WHULEI\"""
Sat Mar 18 15:46:59,"RT @LCFC: GOALLLLL! ROBERT HUTH HEADS HOME FOR 2-0!\\n\\nHUTHHHHHHHHHHH\\n\\n#WhuLei https:\\/\\/t.co\\/h4rhqGo0wD\"""
Sat Mar 18 15:47:01,"Absolutely fuming!! No fight! No passion! These cunts are mugging us off!! \\ud83d\\ude21 #WHULEI #WHUFC\"""
Sat Mar 18 15:47:01,"RT @OfficialFPL: Goal - LANZINI\\nAssist - ANTONIO\\n\\nWest Ham 1-2 Leicester (20 mins) #FPL #WHULEI\"""
Sat Mar 18 15:47:02,"Half Time\\nCrystal Palace 0 \\u2013 0 Watford\\nEverton 1 \\u2013 0 Hull City\\nStoke 1 \\u2013 1 Chelsea\\nSunderland 0 \\u2013 0 Burnley\\nWest ham 1 \\u2013 3 Leicester\"""
