"text","emotion","polarity"
" arsenal fans dey laugh us say we dey europa league","unknown","negative"
" arsenal facing th defeat in premier league games nonly games won in the last month both against th tier teams ","unknown","negative"
" arsenal fan by any chance xd t co e hg l bxk ","unknown","positive"
" awful","fear","negative"
" arsenal are a mess ud d ude ","unknown","negative"
" even bigger twat t co v jnhagcur ","unknown","positive"
" arsenal should have had a penalty there","unknown","negative"
" ud e udd t co izi uzyoqv ","unknown","positive"
" arsenal fans he s won more than you","unknown","positive"
" mins west brom arsenal t co z nyx ojo ","unknown","positive"
" ft west brom arsenal now we wait","unknown","positive"
" arsenal ha perdido de sus u faltimos partidos por premier algo in u e dito desde que ars u e ne wenger es el dt ","unknown","positive"
" maybe arsenal is just enugu rangers that is across the atlantic ","unknown","positive"
" and so the embarrassment continues arsenal ","unknown","negative"
" lol arsenal hahahahaha ","unknown","positive"
" if liverpool win tomorrow they will go points clear of arsenal in th place lfc ","unknown","positive"
" goal west brom arsenal n nsub robson kanu stabs the hosts into the lead a minute after coming on u ","unknown","positive"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" arsenal mah suka gitu ahh ","unknown","positive"
" arsenal tv is gonna be scenes ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" wenger out thats it n savearsenal ","unknown","positive"
" the date is june narsenal finished th behind tottenham nand lost fa cup semi final to city nwenger signs new u ","unknown","negative"
" should wenger stay","unknown","positive"
" kanu s chance saved by ospina after the striker came one on one wbaars theplshow ","unknown","positive"
" lailai our case is different tomorrow n nwe are winners t co rgbcaved q ","unknown","positive"
" west bromwich albion vs arsenal saat half time t co ikbft rpi t co yuna xv jr ","unknown","positive"
" do arsenal fans think the owners are going to change policy when wenger is sacked all they ll get is more of the same with a new manager ","sadness","neutral"
" arsenal fans have reached new heights on the embarrassing scale two planes with contradictory messages flying in q u ","unknown","negative"
" goal west brom arsenal ud d ude t co f btelbc s ","unknown","positive"
" if you are near an arsenal fan","joy","positive"
" looooooooool why do i support this team t co amfnf zgei ","unknown","positive"
" we will not allow you sack wenger n nwe will not take it he is a philanthropist ","unknown","positive"
" entrei no twitter","unknown","positive"
" arsenal missing two of their world class midfielders need some upgrades in the back the team is hardly in free fall ","unknown","neutral"
" arsenal s th defeat in premier league games n ni say wengerin t co j uqq trw ","unknown","neutral"
" qual o jogo do arsenal ","unknown","positive"
" west brom increase pressure on arsenal with comfortable win t co byuvk uexl t co ehg kcyhpo ","joy","positive"
" n u e o tem como voc u ea ser eliminado nas oitavas se voc u ea n u e o participar da competi u e u e o t co cpxidasqo ","anger","positive"
" this eurpa una dey laugh since ","unknown","negative"
" arsenal are losing to west brom ya know whats comin next in news dont ya","unknown","neutral"
" sanchez does everything for arsenal only for them to lose ","unknown","negative"
" watching arsenal vs west brom ","unknown","positive"
" top flight officiating man t co duvkcvzcop ","surprise","negative"
" ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" i wonder how is still stuck at th after so many pathetic performances but not for long now th is coming soon wbaars ","sadness","negative"
" waiting for arsenal fan tv t co nupmpmltkd ","unknown","positive"
" arsenal fans are like no other we ve taken our civil war to the fucking sky man ","anger","neutral"
" in arsene we trust t co mnledllgst ","unknown","positive"
" game the legend of zelda breath of the wild n wbaars n n t co wwqmjwzg ","unknown","negative"
" won t mention arsenal result and being battered at wba until after our game","unknown","negative"
" robbie when the arsenal fan tv check s clear t co yqw uiqebs ","unknown","positive"
" i kinda","unknown","positive"
" t co pxfea vcta ","unknown","positive"
" u a gooooooooooooooooooool del west bromwich robson kanu ","unknown","positive"
" um","unknown","positive"
" the arsenal way ","unknown","negative"
" that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ","unknown","neutral"
" uff el arsenal otra vez ","unknown","positive"
" today s first time it feels like arsenal are back in mid s rudderless and directionless endgame for wenger surel u ","joy","positive"
" we will not allow you sack wenger n nwe will not take it he is a philanthropist ","unknown","positive"
" ud d udcf back on track and onto points n ncome on you baggies n n wbaars wba t co p dix ac ","unknown","positive"
" arsenal ud e udd ","unknown","positive"
" ape jadi ngan arsenal nih ozil x dekkk x mainnn ","unknown","negative"
" well","unknown","positive"
" any reason why our best players weren t on the pitch in the first place arsenal wengerout ramseyout kronkeout ","unknown","positive"
" liverpool try their hardest to be the banter club but arsenal are usually like u hold my beer u ","joy","neutral"
" felicitaciones","unknown","positive"
" arsenal looooooool ","unknown","positive"
" arsenal fans planning to do this in the next game t co spahr cxii ","unknown","negative"
" arsenal have lost three away league matches in a row for the first time since august october wbaars t co h v u ","unknown","negative"
" we will not allow you sack wenger n nwe will not take it he is a philanthropist ","unknown","positive"
" in ","unknown","positive"
" all for arsenal fan tv ","unknown","positive"
" deaddddddd west brom is using arsenal to test run teenagers ","unknown","positive"
" totally need to absolutely batter the arsenal twitter account club have to get the message ","sadness","negative"
" a manchester united win can move them from th tomorrow","joy","positive"
" life is too short for me to be stressing about arsenal like this ","joy","positive"
" t co xekxrbe ze ","unknown","positive"
" ud d ude f t co s waoiwqcm ","unknown","positive"
" arsenal soooo poor ud d ude ","sadness","negative"
" arsenal fans have been screaming th from th place loool ","joy","positive"
" udah gak ada mental lagi ini gua rasa wengerout ","unknown","positive"
" on me souffle dans l oreillette que pdnt que je m amuse au salon du fitness","unknown","positive"
