"Date.Created","Text"
"Sat Mar 18 14:41:52"," Arsenal fans dey laugh us say we dey Europa League"
"Sat Mar 18 14:41:21"," Arsenal facing th defeat in Premier League games nOnly games won in the last month both against th tier teams "
"Sat Mar 18 14:33:48"," Arsenal fan by any chance XD t co E HG L bXK "
"Sat Mar 18 14:07:27"," Awful"
"Sat Mar 18 14:38:58"," Arsenal are a mess ud d ude "
"Sat Mar 18 14:15:22"," Even bigger twat t co V jNHaGcuR "
"Sat Mar 18 13:59:04"," Arsenal should have had a penalty there"
"Sat Mar 18 14:20:25"," ud e udd t co IZI UzyOqV "
"Sat Mar 18 14:10:56"," Arsenal fans He s won more than you"
"Sat Mar 18 14:14:42"," mins West Brom Arsenal t co Z nyx ojO "
"Sat Mar 18 14:25:14"," FT West Brom Arsenal Now we wait"
"Sat Mar 18 14:35:57"," Arsenal ha perdido de sus u faltimos partidos por Premier Algo in u e dito desde que Ars u e ne Wenger es el DT "
"Sat Mar 18 14:20:35"," Maybe Arsenal is Just Enugu rangers that is across the Atlantic "
"Sat Mar 18 14:17:31"," And so the embarrassment continues arsenal "
"Sat Mar 18 14:14:27"," Lol arsenal hahahahaha "
"Sat Mar 18 14:27:35"," If Liverpool win tomorrow they will go points clear of Arsenal in th place LFC "
"Sat Mar 18 13:57:12"," GOAL West Brom Arsenal n nSub Robson Kanu stabs the hosts into the lead a minute after coming on u "
"Sat Mar 18 14:36:43"," Arsenal have won just two games in the past month Against Sutton and Lincoln "
"Sat Mar 18 14:01:59"," Arsenal mah suka gitu ahh "
"Sat Mar 18 14:03:30"," Arsenal tv is gonna be scenes ud d ude ud d ude ud d ude ud d ude "
"Sat Mar 18 14:21:33"," Wenger out Thats it n SaveArsenal "
"Sat Mar 18 14:18:04"," The date is June nArsenal finished th behind Tottenham nAnd lost FA Cup semi final to City nWenger signs new u "
"Sat Mar 18 14:21:37"," Should Wenger stay"
"Sat Mar 18 13:56:29"," Kanu s chance saved by Ospina after the striker came one on one wbaars ThePLShow "
"Sat Mar 18 14:40:58"," Lailai Our case is different tomorrow n nWe are winners t co RGBCaVed Q "
"Sat Mar 18 14:02:13"," West Bromwich Albion vs Arsenal Saat Half Time t co IkBfT rPI t co YUnA xV Jr "
"Sat Mar 18 14:24:14"," Do Arsenal fans think the owners are going to change policy when Wenger is sacked All they ll get is more of the same with a new manager "
"Sat Mar 18 13:54:00"," Arsenal fans have reached new heights on the embarrassing scale Two planes with contradictory messages flying in q u "
"Sat Mar 18 14:08:06"," GOAL West Brom Arsenal ud d ude t co F bteLBC s "
"Sat Mar 18 14:06:19"," If you are near an Arsenal fan"
"Sat Mar 18 14:29:30"," Looooooooool why do I support this team t co amFNf zgEI "
"Sat Mar 18 14:25:04"," We will not allow you sack Wenger n nWe will not take it He is a philanthropist "
"Sat Mar 18 14:04:15"," Entrei no twitter"
