"score","text"
1," Arsenal fans dey laugh us say we dey Europa League"
3," Arsenal facing th defeat in Premier League games nOnly games won in the last month both against th tier teams "
0," Arsenal fan by any chance XD t co E HG L bXK "
-1," Awful"
-1," Arsenal are a mess ud d ude "
0," Even bigger twat t co V jNHaGcuR "
-1," Arsenal should have had a penalty there"
0," ud e udd t co IZI UzyOqV "
2," Arsenal fans He s won more than you"
0," mins West Brom Arsenal t co Z nyx ojO "
0," FT West Brom Arsenal Now we wait"
1," Arsenal ha perdido de sus u faltimos partidos por Premier Algo in u e dito desde que Ars u e ne Wenger es el DT "
0," Maybe Arsenal is Just Enugu rangers that is across the Atlantic "
-1," And so the embarrassment continues arsenal "
0," Lol arsenal hahahahaha "
2," If Liverpool win tomorrow they will go points clear of Arsenal in th place LFC "
1," GOAL West Brom Arsenal n nSub Robson Kanu stabs the hosts into the lead a minute after coming on u "
1," Arsenal have won just two games in the past month Against Sutton and Lincoln "
0," Arsenal mah suka gitu ahh "
0," Arsenal tv is gonna be scenes ud d ude ud d ude ud d ude ud d ude "
0," Wenger out Thats it n SaveArsenal "
-1," The date is June nArsenal finished th behind Tottenham nAnd lost FA Cup semi final to City nWenger signs new u "
0," Should Wenger stay"
0," Kanu s chance saved by Ospina after the striker came one on one wbaars ThePLShow "
1," Lailai Our case is different tomorrow n nWe are winners t co RGBCaVed Q "
0," West Bromwich Albion vs Arsenal Saat Half Time t co IkBfT rPI t co YUnA xV Jr "
1," Do Arsenal fans think the owners are going to change policy when Wenger is sacked All they ll get is more of the same with a new manager "
-1," Arsenal fans have reached new heights on the embarrassing scale Two planes with contradictory messages flying in q u "
0," GOAL West Brom Arsenal ud d ude t co F bteLBC s "
0," If you are near an Arsenal fan"
1," Looooooooool why do I support this team t co amFNf zgEI "
-1," We will not allow you sack Wenger n nWe will not take it He is a philanthropist "
0," Entrei no twitter"
0," Arsenal missing two of their world class midfielders Need some upgrades in the back The team is hardly in free fall "
2," Arsenal s th defeat in Premier League games n nI say WengerIn t co J uQQ trw "
0," QUAL O JOGO DO ARSENAL "
2," West Brom increase pressure on Arsenal with comfortable win t co bYUvK UexL t co EhG kCyhPo "
